2018-04-26 06:40:16	75baba6e8b8275a379a02f0968ea783b:eitsuYI6UugHWue5K2zMlOv6WJuKMlLE	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	220.136.181.217
2018-04-26 09:39:47	795d2073dac0a8de52e1cc99856fe59e:Yf5o7tzdeRIPOHG81Ac1UALQ13v91sWZ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.228
2018-04-26 09:42:42	bdff6f74639af103406864ec3b4ffb00:UUAzJHaEP5VxGYYEu5EauvOA0wHMzwva	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.136.231.204
2018-04-26 09:47:30	7be13affccba1726b1592a3a77e3fd88:l9JabMy2FELD7gCIymnyG9KKWniVb7ZC	Q1:提案名稱二：閒置空間_空宅空間改造,;	114.136.36.116
2018-04-26 09:52:21	18e6aa752d0d297b58eaafd92a2078c5:yLgNRUwFL5WD5VBuipghxu2hhY1HLqIf	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	114.136.36.116
2018-04-26 09:55:19	ec0783961bd3c07488688eb0f07bf918:VfyXcqrTk3I4hjnGvfMAYAs7vNnjLwnZ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	172.18.97.231
2018-04-26 10:11:39	86d74639e85067adedfd2e1db3bc8183:I58l5fYJ9VfvK5ebJld8p2EDiDxWm3o6	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.204.148.163
2018-04-26 10:11:40	c8c0cbe2990dd88bc5dc2a1a88b128db:sydiqrCGkgcBEeuZbRCjDVLBfYhnoJFJ	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.97.231
2018-04-26 10:12:44	3e4554319462fde6d8bafa201f900b68:sqpzwoRJdyfltsLRDGj6EHpPOHjdWVxO	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.204.148.163
2018-04-26 10:13:46	44cc88b39f66994f7681496db348afae:HhokQSY1q457Ps5gGVn34w1eaXpT8P1w	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.204.148.163
2018-04-26 10:23:03	1e4e2404efcc7d8cdcf885d9dc056f8e:1v0xHySrKEYbCCqmLa3eIp5ZlGMTpJnd	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.204.148.163
2018-04-26 10:24:14	f1f4a48c4d5227ed28ab0bee9c599791:669PRgtJW55eJo3xeffTtaOLCk5Sfn5D	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.204.148.163
2018-04-26 10:27:17	a3352a2a550c783f0a38546d2f74055f:BoUdOW12oh3bfEnhZPG8VRojcTpCH5JJ	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.204.148.163
2018-04-26 10:34:57	9da0b13155041298b9bce2392b4d8d87:irGfjiufybpQhNPjB8ahnKV31MUmquNO	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.206
2018-04-26 10:45:25	67e195ecd48a5bd716487a80ea5a8b4d:yWqrFO9plIX95YPFeXqHF6RMjoB9lkS0	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	114.136.36.116
2018-04-26 10:48:54	6a073b80a11ab0d2d9d9a499829b8407:6KKqUUNMvQ8h4BeiOxCyY3Obkg1IrPon	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	114.136.36.116
2018-04-26 10:49:31	0353a9730a242652d6f7a4d191d9cef2:N3xlabKgeAcvTT7DCi5llKiJTKssdlPa	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	114.136.36.116
2018-04-26 10:50:23	f68dda7a4dacd88071dde274ffde7cba:opNTUHzuazUwzHpFmvza9sZNMGpZwSwe	Q1:提案名稱二：閒置空間_空宅空間改造,;	122.146.127.46
2018-04-26 10:54:05	dc1dba40c5e9b22f6915da344332ef08:rGvzd2YC2yPOwQ2FFF1k8slllY3m7KjV	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.9.152.97
2018-04-26 10:55:28	6a8217d2dc5daa9c99862a303b6719ac:F0bdy7H64ZRBhXSmZC1IIWq2WC2251RL	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.9.152.97
2018-04-26 10:56:52	58c1a8ece5450656eb1fb2dd9e3b3c92:2ZmEHshUIKhvDyKHYxhxcmS2bPEMoURw	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	101.9.152.97
2018-04-26 10:59:35	eb055f4d195440840b8671d045156106:QvjTpvNwIpU2J8S3F9yEgwMs3jDldoGw	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.9.152.97
2018-04-26 11:12:44	c0bb205fe8fed150d3a75a588e294302:FHXG5lTtSpzFya40DA8eNCrDlG2kBeks	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	114.136.36.116
2018-04-26 11:14:45	4bdf5a4260ae67d575f161cac84db054:vnCQuT6hD1K6fqaLZpV7SlAr0rAoTEJx	Q1:提案名稱二：閒置空間_空宅空間改造,;	114.136.36.116
2018-04-26 11:18:31	ca7756513de3a0999f32db83d13ae1ad:lqTigCdEoQ6Jg18x2tLtlwwcRCoUQqnU	Q1:提案名稱二：閒置空間_空宅空間改造,;	24.62.206.25
2018-04-26 11:19:04	4ea99aab4ab4dbddd6e10085a046bd7a:mBoCJTFWi8TO33K1gBpgbAUv6otDnLUz	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.97.231
2018-04-26 11:21:00	d9a59e9a0d6b8d421ad433a9583c0d50:ndWzCM2ElCpum8BjsmV54ps5pC6hFSBl	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.97.231
2018-04-26 11:26:51	9af260e1c0e5eae5e9451d99828ccf32:95CE6vnkLRJdTPON5X7S2G2RFBrP1YeS	Q1:提案名稱二：閒置空間_空宅空間改造,;	114.136.36.116
2018-04-26 11:35:50	64a16ccc302e1200913dfb5919e9d17a:MnxrwPQ7xCPZWnp7nXQJSFUOUMKTHWFl	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	172.18.97.231
2018-04-26 11:59:47	eb974fe43516ea190f4dc2fecea6afe2:jMxLoL1Z4TZugz1geiOVeWoPvVVyxLUV	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	114.136.36.116
2018-04-26 12:32:00	755e85f49732ef85f69d4e4f028f0030:ggc9i6xM1qI0sm6ILqWWfjwHnTUQzpUG	Q1:提案名稱二：閒置空間_空宅空間改造,;	101.8.209.98
2018-04-26 13:08:50	238f4a637c391557c89c8f8b3845c98d:NjXcKLKo9T11D9U0OaPm6E4dzMbKirxj	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	114.136.36.116
2018-04-26 13:09:33	b0d5f27eedd05505d6e58e1639c96037:zRdcxRmZ6F1Mrg58KZfE3gPVTjpG9mik	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	163.21.150.211
2018-04-26 13:10:33	95982ee86e4ae88df492bc451682b501:PU9uDb89yyV860VyK3BCvvcCV0kGRnPy	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	172.18.97.216
2018-04-26 13:24:18	258ba7d7d04cc6899415fc98eb6b814f:MOQ6hTw7rJRWTJfmV89WwFlMq6rbMKzf	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.136.36.116
2018-04-26 13:32:15	e80a7cbcd96a31afcc2212a979324bd5:M90DpYWBYDgkU7nig7HOTJOBqFUKyhjD	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.136.36.116
2018-04-26 13:32:38	21850cecfc5a6978bf07edf62ccec800:OTs3rGt9FrGBIYg6bnznu9hKjgulAFuy	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 13:33:12	e1bed2dc90156084bfdbff5eb4fa22ae:XouNh0Zc2aJJvR0mmEKjdnoE7vKMuxDx	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.228
2018-04-26 13:48:53	c83ee7d52ecc904089ef343190223819:l1fEHjQGV3KC8fRC8EiRnXn02kMKQ2nc	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.136.36.116
2018-04-26 13:54:51	19ccb0fd0290c2c4ee6f9cf777985ad4:rJhVTu7v0Lk8BLgH8bXmnenqTRofnWT9	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 14:05:06	d7a5f0d1e5dad6f7211d37d0e9576252:gLcUMT0kTgNpyCSH272ttoryQHP2nEnN	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 14:06:45	77fc9039f024f16fab4721df3dc86e00:dY4a3DH4Nd7R9naqI5hq8zlt6TmzR5tc	Q1:提案名稱二：閒置空間_空宅空間改造,;	114.34.170.152
2018-04-26 14:10:15	990c252c2b33c603c66268bd6643d8ce:xeyIBQrlA3bqgGc4kwx58jueGBRz5IXh	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.136.231.204
2018-04-26 14:12:53	2381c24b3e7006ef22911008b59de4ae:V9EsZWNR9gZ4bdkXe9cJPLLyK7d32AfH	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:14:16	1c34aa07a9272a0bf90ad063c517f1bf:9aY1QTSJSoRJvtCSSpKCNghA8sJW6dv1	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	49.219.152.227
2018-04-26 14:14:40	ca7606b24b44a747d53b7baf71507f69:jTfIjVWJVS2DbgiDpGHn7z2AHia41DCQ	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:15:58	dfc519f0cdc5e661b96c2bc2e14688c9:kqw2pchDcpZjYaMwScAtIi5FXT5NtFm7	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:16:55	7810330a346df183ca9ee201b5d2512b:CccRz5pfgtDw0H3QeLr8IUlWUOE8ERxr	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:17:59	c682fa51ad80825821f1e506c39535a9:LXmnpAI8K30pUqqEbhw0frpqS7biAI1t	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:19:06	98bc7056854a1f839ac9f5bf1dc2e800:rAeW6Zt2XscxdxUvypMrSn7xotUssPHx	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:20:12	ecf4a677fbc44ca642d745fe1b3f7666:bA9UUiOxj3WpP24U0GrEhkNc69EjI2pr	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:21:12	eec88007cfd738c74ec7111b226a8c82:NUlHu3a3GdoYsB3LjaM32DGdisgdkfVu	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	163.29.163.123
2018-04-26 14:21:20	826332c49a0ff47f79b69376de4f3f2f:jv47yLYTHqlvD9QhdKL5Prr0KeBV9pjc	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:22:12	36b150317dd5b5af22ac560292971bcf:7KysFFHAs5tZmKQAY1uw550N9SreY4Zp	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:23:57	151f9533db453f878ae3116a5ad820f0:zdehgqxbmOer5DcLOgLInT8OJrtoBxqF	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 14:24:52	3476de554b1d7f50e950b1473ae23f1f:7PwKgfqu5k3ayOLcfu47i3ccr1aMyezp	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:25:40	8c5a079a3ff2c9958bf0f638373ead2a:QhPMD6bX9NPDyDvmsI09P5OWsyElCfqI	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:27:31	13c51f2d1405aa57fd0b7fc3c4ac92a4:OB5OblnYVEHxWLwwXH1eHUpR2zZej4u7	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 14:28:57	ceb76d0d8049398a1abf2c6783e428e3:KKPTFTw0s9gLVEbxQhI5EyWfROmXynJj	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 14:30:06	9390e1ceb8e5d722dd1119e8ecca4db1:vcHlSFljRdtOE7pArTSCLzq7YbtiNely	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:31:00	92a39ff5ba5f11d1959294ac0c536be0:Ix8R8q7pvbFG0uyuVpMKEu6j7kGaFlQa	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:31:27	4bd49523fdb21a1d1afb0cbebe0518f4:OqmMQD7uZLo1Mxzkuk514g56LioXlgv3	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 14:32:04	aba6b1e125203a7b31e475f6a1bed8d9:MUpuFCfzyvPyWoX0PcXToV11EDCepsWP	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:32:26	b6139af0dbb46ffe35235748ab4ecd5e:yOepVBbDHQOAYe0ZBNUxmLnLe9hFw9Me	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:32:38	f754239af8883f538a9a675baa9a788d:4QjIMOdAngn6cGSN8WyNA1hLoqGaR65m	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:33:16	d65605dc99728a660c9a147ce6699116:WP19KPYYSnnoQzScDXsLX2jmKOhlZ0DR	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 14:33:18	efecf73201187faafa38bc8e43d67c54:HUOLIRDCRrXKWvkwFQ9nCePIPT6j2DSO	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:33:44	3467535caa1edc17ad06782f1b078955:6Erq4ey1snt1SNPfjqC5ejt6KjTnnvOJ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:34:14	eb0228611f4d4ba9cee9e419aad7303b:ptjNEpMP4xg5hxXN6L0s7jcPjNoQgVzi	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:34:43	f06b8d57032e5d1ffd25fa0b12d40065:B75S0M2otjHjGuy5qPGDhlpkRWmYO5rt	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:34:49	e6426ef33fe6ecb1b8756b02e60a2d60:JGpojTYFJalEE74pscBwNUXzZfMSINTU	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:35:15	7be79c328cdb7a045a5faa31d2a8badd:JVL59wI1YWwrzYV2SYtN3VcCSBrvtNWJ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:35:45	0b9491970d099826257e4b767c95aef8:DqKz1Dvb5ycKd8HrjlzMr4OZQiAdjWbj	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:35:53	239d633bd3248627858bbbe7b682d5fd:hAQY8E1y7WLTqghmKb5Yg8bH9Vwhgmfj	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:36:16	77ca6dd3465ae11dd79b24c5f5aea53f:b1nXfghMM02dWFEvVSmEaXciqHtkBskl	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:37:09	e27dfb11e533fdece1c97d023eb5338f:MYavIPaih6cGUVWV0eFU2e8CaH7V4BOA	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:37:30	bafd0f15957bd196474aaa5008636e1b:HQQ461AoMqsukgd4tGbzBp23V0OKa8KW	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:37:59	7bf2bac07661889175a6945e2539f544:NTsQxeW5z2SUXcySjYlW00VZIiLzA3Eh	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:38:17	b349336621d6cd02b8f5fc31cc0aee2c:BvWU99qxntanFJ3cARHKZy0vobpihhLZ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.36.16.188
2018-04-26 14:38:20	d3e7de4a1c4dea1f6020199c64ebba18:32h0DDbFqYnPPVDa9uSaBMC0Jlwy5uKf	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:38:27	cbc7019941856c91b4056423155b22ac:0oLRDf1ygIfFGohPK80PWAECQ0LAv5Pd	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	106.105.178.44
2018-04-26 14:38:44	1affb644ebcae7ab8283f5e970be67a3:1aohf6TQ1xqKKVas2LqP4ElaahyhJE2H	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:39:06	5cff4267924bec32045e10e2d62dc717:enEJbkpLQWwp3sn62bNQW41G1SgnHxmv	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:39:10	9f07dca953d5132469f7a6878f1ead63:U4qLCT8uDxImihhZVQIOaaGyfLvwMPCC	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:39:33	fe77a03f529e02b5843cbeca4adff7c9:SsnHUMlQ6PAhLPZx6fZIM1YFXwHnRl9D	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:39:34	247b04dd6f0e1750dea8350ee1510318:2t7uM7NuVhQFJoMtmSogNLbgRTnd2lXi	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.36.16.188
2018-04-26 14:40:08	b911dddd5067502b9aa8efd3e9d56ee9:9I8uPJHO0WMclGXILL2lx3evZ6n06xfQ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:40:13	e6cedc083a445f5ebbab4a1a35ba26e6:TAjXM6abk6jkxI7pPSi3pgB6tmqelsIK	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:40:32	9267f71475c88d7d317170b2b4bfff5e:t9cXjMbdNrA93kWb9G2RXPq7WgmPm0Qq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:40:55	05a783e3596b93f37ed4d6f5b509c6ba:U0sfRUonG9VvDwVnHtslcnS8HCDQywV8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:41:22	ed6e78a1c71f5f174136ec887aa54d84:znzdYnTXAYHuQ8zTlrYrqTMhDUgeMO64	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:41:44	6fc400135f2033126a43ec9bf11cf26a:hrTqrOUdodACsm5Nr1FBKzqM5xqUor5X	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
