2018-04-30 01:16:49	04d2572538d731ac0ff015e8ea0650bb:fbMJvfwRVa0IL3ut2PO9SkXZ5Rf6UcGi	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	115.43.118.29
2018-04-30 04:59:16	41136f13c9312af3418d1756553f44e7:ZR18njV3icHz9Ppnedh5ZLni9sxOh3Y8	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 05:00:05	a5e807e7ecc9d69f5e07155215099673:C3LbrvSw68cYoBOeRCyN9a49SaQpn5dl	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 05:01:37	0326bf0fff12fb16ae77c386504af651:J33LYZQgGsstnaGnJSUDoZMT62wj2SsK	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 05:57:53	0f93ac906c48b85f2e8967858c022f31:CA3HHFLeFwzV8YwFGfO8wQ2S93zFBFmL	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 05:58:55	670f733951a64fcb8d80a6a1d9b4bc97:yrYJxM5GHROQ9PUbd3xYSYc7dgikdERN	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 05:59:37	a422e021c17d98fe99650fbd41a54dbe:bf2ZHvmkVV0OD7YxqJBnbsAN2WTY3iGi	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	114.136.251.50
2018-04-30 05:59:44	9dd419197cf91169f6fe4ce22de185c9:nQDh8cENAvGKG9fiyKQFWj1kPDt2cngR	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:00:40	8e1f2a2b4d5cf6b690a13d227a8f4956:9vSDp2RKsPsyyHd821ceuyY0aV3Lca0M	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:00:41	7954cd04329785f11c40035ac0a9eab5:jx1ESR8hOHr15YBAnGn1BORBDuUPDK7P	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	114.136.251.50
2018-04-30 06:01:36	67a1d834e0f0f53bb0aea618576446e9:z8H8KLCzVeThWMwT4SVZmtyhqFLtS8ge	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:01:44	38594b4c1483b9be4909799e5e802673:BhnpJljrIn28rsnlMcLc5X2ztHAMB80p	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	114.136.251.50
2018-04-30 06:02:31	dec29da3723b928466195f7c8cf1466b:5BfnRfuWEDHQJt0YvK2mlsPiLO40ztsu	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:02:47	0673d2c39f0f18407123c43604c1eaf5:SFVWxWqbmGTnvOyoPLOIXdPw0QemqGW3	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	114.136.251.50
2018-04-30 06:03:34	4dd88884f69a83c8cdcc14c3bb6fc795:YGeBy34Ug7kOXAlbNImK7IsuiNlCAa4c	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:03:47	f5866bdc82e162b58a43c52c54e0cecf:MA8Z3LOLW6zaI6PTOKyvKvqS7lic5z4n	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	114.136.251.50
2018-04-30 06:04:49	ded979b95b4eb71136e0ecf1307d4cf1:Bhmf5yYe1Z4XQNhhdlzDiH8zcpDtVHcu	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	114.136.251.50
2018-04-30 06:05:39	5710ccc2d1f2178587eb2214d5e6413c:Jky3ewxBJmxeSZmVUcbUdntmaO0KjSoo	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:06:30	895ca7cd8d6ac7499b302152f113b11f:S016mpT37cJ1q2Hm8ltWiVUEm2602Prq	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:07:21	fa8ba2c9edfcef9a1f57ea32e58dea66:c0gRGPYNARRkqWCVus9UdJ976DiLdouS	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:08:10	7da58451026a3b10b5c181a495b52ddf:7rjNOto99RdftrjcmBhvjQN2wscan8WW	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:09:03	bb96a529c15e8a5b9278db5b085908c2:BwU5KGgMMSd5oyiMP0bKRIJTjmG85I9P	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:10:05	3303a6c917e9bd6e021ddd3bb4b85069:hXxNffcTMjcKXetvzAz4dA3ZwrzOusnG	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:10:51	e83b77039f5e35bc0ad764d3c3c4067f:f84JhPNUgog0VreElPOtPAGvMXMB7nqs	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:11:42	51c9f83c9a7b86a1b8ec936d7d9cf90f:xND7knJs3wvKGzNRex3S4upKfeGEhx6C	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:12:31	f760bfc91f2f300c141a8197f40a0d5f:xvbsVcmNJMGgC82ZOmUzWu0c5FSOvqxQ	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:13:24	dbfddde8f903d3885f580d48d026e64a:Noz3TsK5GDmheP6UwuYdnzyqtk5CyMk3	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 06:14:20	82628dfc42b7860b8b955191055ad30b:7YuYMtiPBzVchvqh5Vhu6FeetYcUEHhm	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-30 08:26:13	7e9751c905f337da0cd65b9e7d9c91ec:tI0VLaar5zazaEX73TQZ6cOLx70IL1Yj	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.136.209.205
2018-04-30 08:27:31	a8ea1e43e0a9397427c5120aab6da6f5:cKmr1vrFFIJOF3Hpr9dftOAFJKHBBRul	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	101.15.115.118
2018-04-30 08:27:31	d130df0b34756df3581f5b795b4ecfff:kqbNCKp5ILZufC0F9IuE69wbryTWAWdJ	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	39.10.34.222
2018-04-30 08:27:50	c236a5cbe46e2b7993246624382227a2:nx7kRu2VA6EKcEdZ8zMo7LU5Y1Qr9ZWN	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	110.28.169.20
2018-04-30 08:28:00	726131ff91c6b53cd7d232de69a8182b:Gnl7HPwVEZNAsDng2qqFYDGiZ0aGooij	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	39.10.75.57
2018-04-30 08:28:57	e9f96ec4d36589a7527000adb6ef7bf3:aOyyQNNd4ctlFABCNZv0tplI8CWZ9jS7	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	49.219.137.211
2018-04-30 08:29:32	e7c0919cebf8f6b1fe4d45601c7b5c5d:XJjaSkogWKoPlg5REO8VoWFbwG6u1xHd	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	114.136.96.155
2018-04-30 08:30:10	28883385a61ab0fead110966c5b4ac3b:1IxEvxq20KPP1hQCJatSqLu9xm4BbW0A	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	101.15.82.46
2018-04-30 08:30:12	d6e26950366cba6d9df0b36c2841e458:jnt3JP7Kl9vtYfcMRasunhUo9CE7czKQ	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.7.122
2018-04-30 08:30:13	3056d427b8929b2eeb19b8e18c1ffffa:FvHmYZTXkN2qtYMYwD6aantINChH8bvB	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	39.10.101.156
2018-04-30 08:30:41	7964fcbbadec83a60a4cd004edfe503e:F8yD7TJF40m00dm9049YfXFXfy6iLi0v	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	110.50.148.193
2018-04-30 08:30:56	b07835d5cd2ec6dbc61eab04734896ed:p6UYZOhSO5lC67OojQgKdpUPVH4iZaVC	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	27.246.202.144
2018-04-30 08:31:04	aa058053b5bf6516178c56edeaf3d37b:Fbr66ppcfMhp9cMJ97kMRMr7bMID9WAs	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.15.161.204
2018-04-30 08:31:16	4d60c8893547a21c551b58f257d3ddf1:08K7XVsCe6Pz3iO6plkEkUPzB5wF2W77	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.140.17.28
2018-04-30 08:31:18	eac81d404ada2c92db09cb28ac9c1978:wE0apLe4cXYpXkFsHdSzNd3UTnjHAOAn	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.7.122
2018-04-30 08:31:20	a73921c9ea7f0547c066bee99dd5ace6:bMX2A0UYsCTeWiQuGgkHKgbioCSBc5Gf	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	42.76.40.34
2018-04-30 08:31:24	8f8dffcfca45bdf6b6a838dbf3b38e94:oG2UjhVdO4udjlWBBdvDQdHzllJNVGdH	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	110.28.106.237
2018-04-30 08:31:26	b6b478eb090253491ca1b3d92675c0ea:2JMtIUR3fLhEbg4lNyWH80JhWo0cQ9Bf	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	101.15.115.118
2018-04-30 08:31:30	097c99e944da0c125bdab03946cebf07:JFkGR8l5yZXG74JZUyjigxDV3FgJNsVM	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	110.28.106.237
2018-04-30 08:31:34	45f0296b3cca78a23b83edd5eaca7ee0:muW6D6bQlHa0h3gkWv9lUhV1Le8LYoc4	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	180.217.95.30
2018-04-30 08:31:45	ab9bc357528f9af89b3aac86aa951cd5:nmeQSQFt3dDMGrNYgdnpP8EFzC59K5Ag	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	110.28.106.237
2018-04-30 08:31:49	84ee6e6f55caeacdc4ed24e9347da8e3:IakayT4t5nUTfmQiKTMLCfGxlpkxNSVr	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	101.15.115.118
2018-04-30 08:32:12	2b7b73480a5220e0d627491fec518700:dxKSZZri7Y5Icz3nwgiKsR4n7WWXy61V	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	49.217.100.23
2018-04-30 08:32:15	1ccfb6aa26c2c485d8541cf423a86d99:QZkJooILQT9k0pOnd1RpBvXWnKvMVcMQ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.15.115.118
2018-04-30 08:32:23	e912a3408571d8883ab152452ed105d6:IAY2wHQUuvVWT3Y5utP9T8GjwyPBgcuO	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	101.9.160.89
2018-04-30 08:32:43	15c5718f227093ce92ed261e64d0c046:ZD1csIgtikqwv8lCxRhlyeO5vALkMOXL	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	101.8.146.152
2018-04-30 08:32:49	e0104148884ad12c18e18140caa78f5e:MayyQVbTBXX2ZZGOg1cnu3pKJrAnzsJJ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	117.19.19.72
2018-04-30 08:32:52	f1c4ce8b1ed8f8573e1624b9d72efcf6:GFw3yzm2eRbjXT3lfwrdjkjiaEqKcYmV	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	110.26.135.162
2018-04-30 08:32:53	18b466774cce8e85064dd308e010f427:rO8gRqJA0uvClvSw1dza0raft8OVbicO	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	1.200.201.197
2018-04-30 08:32:56	8c3c010ff7dd633fa3dd72d12918ce45:SuE1TJZ6B8Gr8ST8ntLFOwzYP8YkGIqB	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.139.127.72
2018-04-30 08:32:56	2b323d50262606ff5767d5842d2c1c90:3lc0HHlz0SVixV4WpGN8GH5CYVDS7yEh	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.15.115.118
2018-04-30 08:33:01	0c63ccdeaacdf45c029800cf9039eba2:AaJtY91TWNdY3MbfZTfM5DkL8y58jVF6	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	27.242.166.44
2018-04-30 08:33:06	9e366f54b6adfd5168e7844739fc6a10:Xl4tvyEDQL3GadTaJilj1UqDYJkmO2ZV	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	42.77.93.253
2018-04-30 08:33:07	fad6b96d389092d618146ba9db604fd5:rZS3TCeppLjR2VMMHckZ1Y6OX4FLB8jQ	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	49.219.130.41
2018-04-30 08:33:10	b8d724b5db31cc3711023859b2d95af9:2SnqSex6nZK8OtzwvUUq8gKuADvc35b9	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	180.217.151.15
2018-04-30 08:33:16	b30e138ce88a53134f21d119dddfbb0b:vTyS3v45YKj4nAHUuohy30gRDuLRrczQ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	49.215.210.104
2018-04-30 08:33:17	5fdfd5a9275a13440c79b3e2d75dc239:dgVMjDGA7phKROy100fzX6gskkIpOwRk	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	180.217.174.176
2018-04-30 08:33:17	009f94d28ef5adb1033c7f86da0e2471:pEh3gCIzy6AUHCP9Rn7LNUrTh53mqLN3	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.10.86.67
2018-04-30 08:33:21	1ed6e444ba84b5442e2f91d4a8dd9c3c:iBKEWDIh9SmvmuJkZGeDzMfNpZmlta82	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	180.204.2.130
2018-04-30 08:33:29	774f95328d01d5d4b7a2e3b27ba49dd2:43LivSQKn9L3UHUuBzNvk9fqOMr5kknn	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	27.247.196.65
2018-04-30 08:33:34	e6ebfcaff8cb9f9ad0871fbabff23cfe:H1pSH4rRhO4bZbDbtC7Y2yvHIQhvOfiq	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	27.242.0.113
2018-04-30 08:33:35	bf47cb3442e1ffec239cc05ee86040f8:8wqIVo4oVww1aYpQIptpfH0hOU4eYAL8	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	101.15.115.118
2018-04-30 08:33:36	433c157e5fcfac0c9da763c575551840:lSxSX2zEnQ5L6hyc71kVYnBu47gpqY2O	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	101.15.56.124
2018-04-30 08:33:42	3823ec8d8cf9e8c1cb2cbeaae718e53d:tBaKlzIjJl4TieS3B5MluAIcYPeg2xkI	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	110.28.98.160
2018-04-30 08:33:47	d8d5e3101ce9393f03b5d57bf2e47d3f:TnxkuQ3wxggBSN7LdONT6udoGKFnPubm	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	27.246.196.158
2018-04-30 08:33:50	92a289023d367da8181408482c0e153a:O6yQwC1oXKtykh0oX3FSDAiwvMQ4cjUb	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	101.9.240.99
2018-04-30 08:33:54	bf92759fc3ce9eb93cb74a0cb5485a1a:6D7OgyFK8buP0dOJY2Yf5tsnqEY2lCN0	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	180.204.82.56
2018-04-30 08:33:56	f3a47dbdc1703d9a2d4db1709fd836c5:TbhABlRhoCTkZRjDQeUdn9vMI8Hu2hlR	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.136.7.122
2018-04-30 08:33:58	f4e6d6edb06ea111f3493c43237e8307:4cmHdbvm2HO521UPmxmU6YBHyeWCW0F3	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.13.232.147
2018-04-30 08:34:01	2f3f62e722fff7894d23c61218522b09:HcASnmSN6wXFriINx2q3IoHMatviTdzy	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	180.217.142.78
2018-04-30 08:34:02	4525b2235d28de261449cc6ab6f82af1:opD3nz94OsJLONAN8ubkQuwCjwA9UGSz	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	27.242.0.113
2018-04-30 08:34:11	142a849cb6ae1754afefc4d91552f8db:ArnTTICgnbTQzxdavmZOTDz0cOKtYspO	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	180.217.161.116
2018-04-30 08:34:15	c63568d4ae6ed4dfd69082bd7c0b0377:SBjeSnrLyJ5UQQC5FDKKCgGUGUDYsUg8	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	180.217.128.116
2018-04-30 08:34:18	ffee3bb426bf2d5dba44b8ba1e4ab669:euio1Ufw2C46lrt5k1ydYMnJ64hyWnAO	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	49.216.49.34
2018-04-30 08:34:19	f97bd6146dd8c76320f65422bea72727:pMReg0FFXO40LUo1ftJP7sQDfCaResFX	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.138.108.152
2018-04-30 08:34:20	6ae37dc02af0300e6a94dbd28c870f5d:Fze0FDBcxgC1ocreerXQtW3sSoGEML49	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	27.242.0.113
