2018-04-24 01:31:14	5230c48431801711493ee69c7b8ab2df:1AZFcqRXi7MPkcOtBdJuWSGuQe88tGl9	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	42.77.137.8
2018-04-24 09:38:15	e52f87f44744ed9929e27d0490c3d108:dG6lVSQrlBhvfyCG4iuiQvSFPeem2DAE	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	117.56.49.122
2018-04-24 09:38:20	c3a55e217295f71386bbba27af576007:fDnIloSftVutw9AYXCVIwCBJR1n8GTAm	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	223.139.219.173
2018-04-24 09:40:18	a79389690c581ea67fe542bf068094ac:XBvPTBrlx0XBEKdeviU29z3XZxBK4RLv	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	101.138.147.121
2018-04-24 09:40:59	d3181a3f025f622a342569e65a68f0db:6VnhrpLZQn7sdGnDBh5WcFlvNUaimCoE	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.1.82
2018-04-24 09:41:34	b70b8a8795c065ead2465a26e50f80c0:iTVkLN7e6e1mPBfRCdfTMwOhqu1th4RJ	Q1:安養平民化	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	101.9.147.73
2018-04-24 09:48:11	e2733c182a2283cc0b26433d85abba02:ek5l5NC9Il9I4Dma820rOKllVX5GeBBD	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	39.9.62.55
2018-04-24 09:48:55	e2ac9ed8ce80f28c47f248ec869cd4a5:nsfuQMh7ioZK9oW5vTVowHSep3dQT6We	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	223.140.108.98
2018-04-24 09:51:43	b731e181f2f0ab7173ad151a3d6a31f4:kx2fFfBtUbCt99iuAii7zm2rAOHFLUbg	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	114.136.33.132
2018-04-24 09:51:48	094e4dc11d58c7ccab39e2328f0766d0:Q85jml3hqijsYfHUUKGp1D5QPwNHPNM8	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.19.72
2018-04-24 09:55:14	33a57015bf12afede854b582cdb3d21d:nEcdgCTy81BsujKmgSmpgMsF7Xykyolh	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.136.19.30
2018-04-24 09:55:41	85e2b3b7dfef3d4cb1d48dda9a60a2d9:KidxCbiL2v7ymy28QOvB7X6Lier1QWdP	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	172.28.19.72
2018-04-24 09:58:26	e473824eeefc826341ae4c9cd2944a8a:Zo16btuh1WlK63OmGCkWR9FN5WhQruI5	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	117.56.49.122
2018-04-24 10:02:30	8f6c67aa54d2e15b5ac2d4ad6058d110:uXmvzOnRoiwAEUwabEHUZyk6rProGxNY	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	27.242.70.119
2018-04-24 10:03:11	7c96cf490c48274db80cffb4ce1d0d89:tJx96MJITsyxeIGefqq9ahVkFfqa39TK	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	172.28.19.72
2018-04-24 10:08:25	50f16bf5d89ae3f6586549a7a1d86ed2:c3UNrEMCyfcO0Ax6tsZ39QTbfBMFmLTZ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,;	110.26.167.185
2018-04-24 10:13:18	f2208e87063feb139a6ac5435fcdc995:rVoAzXo9wlHw47DR0xMnh5GvcxcmKOZw	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	172.18.85.2
2018-04-24 10:15:03	632418457e0db9bf23448243021f9c6c:f5HBlmIUFwP7PTBcnPBmLHFaaOVNDwI9	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	114.136.13.235
2018-04-24 10:18:51	c19b7592e42c9b6451b9139b1ee87763:jvPcdl4k3HQI2s8GbCh1joSIZd6sspZw	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,;	219.87.75.5
2018-04-24 10:29:32	d91f62c7100d24767df99b79e18a3e02:Qnnxt2TjLhKuI4sUVb768dKMjVgKQtez	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.137.86.81
2018-04-24 10:34:48	0f36eac098804f5d5403b4cb8735ff11:m5aTEymOZGCdp8n5Brf5wbB2Q9fQWwdI	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,;	172.28.19.72
2018-04-24 10:38:43	a9e4207e31349621520f16e2e119c354:fzGY7kU4eBLALES6qN9Gmav977tYeHcs	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,;	172.28.19.72
2018-04-24 10:39:43	18569ab3f876fdf5e260226416f7517b:oyfw3KjjvAUqIKhDJWc6tREZGXLrv3dm	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,;	117.56.49.126
2018-04-24 10:41:52	a8f2e9c675fdc7ee4891e75398acf786:19yGDXUPMFuLhxGW6WpU0wr767lZ4bLa	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	111.185.68.108
2018-04-24 10:42:24	6f08aa927b38f9713b03716f11b490e7:S8hP9crT8vkAfGvbUPCDkP4f8M3NS8dB	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	10.11.17.14
2018-04-24 10:43:22	daebd44f7d9633b026f923fc73bece2a:bdQvIfTL02BqcF8HDZleL7Xhlk9da1si	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,;	172.28.19.72
2018-04-24 10:43:42	6d84f1e13ec1a0188d68478e2da04222:HVe5fpJnAy4UbivS6FFJaAbdS3HIzM94	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,;	10.5.11.3
2018-04-24 10:46:22	99781f2c703eda971e14f7a9efa0d063:94vf8ZZaHicjcBzhAmVeFe5U0Nk16X7F	Q1:安養平民化	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	117.56.49.122
2018-04-24 10:47:06	ec8450052bdc1ae718af9bf225ccb020:3URHFsWfO7X5HJVRdrlEEJL0OIKNb9tj	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.19.72
2018-04-24 10:56:42	c424687f20a6af55b61f15269e2d6b36:eluxNElXbSOLgIMxrf23FEvltvT8rZCb	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,;	172.28.19.72
2018-04-24 11:08:29	98e3deb26ecb4f85ecd285352c6373a0:F1jIwh466DUshem6QRvdTJt12RtGNf2H	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,福州山觀景秘徑	,;	117.56.49.122
2018-04-24 11:08:47	586feed356c5a6253fb448cbf4fa2ad6:dA8kZXeSxIU5AJCD3fC84HJ7QShGLHNi	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,福州山觀景秘徑	,;	172.28.19.72
2018-04-24 11:09:01	3bc5ada3611d02e597b250bbb8c15632:K00Xt2oByBc6UDka53IfOW8niBRNvssG	Q1:安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.18.85.2
2018-04-24 11:12:57	1097eb0f1f65ecb9f048cc843b1528ba:QH1ScyB9rL3axBOboga7RmJilNnsCyHl	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.140.45.37
2018-04-24 11:13:33	427f20a8f2e3b374e7506e5a1e2396d8:uYy9LuxJeaIxcapBI8zhnMGY3QVIBvqE	Q1:米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	114.32.120.81
2018-04-24 11:13:48	ac3c2c909160e0db8163cdd8e012d656:PXJF49AV1s2glyp5dgEBdSeNRgKiObIu	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	117.56.49.122
2018-04-24 11:16:32	0d361503dd761607e1604564bf274d34:GDT1eFLQtwlcqv9eRbvrxh9tIwgDkI2t	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	223.140.145.149
2018-04-24 11:18:15	262af4d40f920fb69d0eb6420969ede2:QklvXp1wKvYfZgBOZsxdMS2GUhNQgm3T	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	117.56.49.126
2018-04-24 11:18:32	3c4b96f2ca528db52cc80fdd9083cbbc:DQYrvqnNnQ955pI5y1RfIgxdkUEMOHt7	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	117.56.49.122
2018-04-24 11:19:18	e034e591423037d3f6a1cb981a66a900:5TpGQ0JG41xBD30RxMGftZPLgBRyQ9Lb	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,;	172.28.19.72
2018-04-24 11:29:32	2393bdfd4fb0d54441dcce89e7e07d3d:N4GDpwdrFJ3LOWe1cWlkaT80yZgAawLs	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.19.72
2018-04-24 11:40:08	a0a7ccc8861be0d5f6aa25b25bce5d74:ICdBfDqXd8WlYXyCQ9pIr7dGV1dcodfc	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	117.56.49.122
2018-04-24 11:41:01	aa440d1d0e200876f69d7ceabf8f6c34:SFvvoCx0bEwsMdWKtyV5ZOinIzALVMa1	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	117.56.49.126
2018-04-24 11:42:15	d20a564c23b88e10c0cbc44d535e2e1f:zf22995nmYPaUseiUeebnMyH52ty2315	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	218.187.103.122
2018-04-24 11:47:42	1a4a81ebcd3b378ffbd454e718ca7b1a:Oounic9BcPWUJLTEGKSFG7QC585rTB0t	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.204.6.122
2018-04-24 11:48:03	ead3d06c6aa91e4aa86e161aac6a3fb0:66pv7dwVEIqrp5u1fK4k4StL8Rwwt07i	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	117.56.49.122
2018-04-24 12:38:39	c8a8c760c8be97670e0ad4a3df8399cd:WfzkI4RwKTF5bbBsHXtUrXxzWZpyBBrw	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	172.28.19.72
2018-04-24 12:40:38	3805f4ff7ec2a8ec58b6846b3d19ab0b:JH0UDEdOzzNjqq2VmqIZhHMCgNGRgRbo	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,;	172.28.19.72
2018-04-24 12:40:41	b44f0f8b2f1b5d2335af5fe92d921729:OyNc7JVG2rriVkxwISCYgGlLxf3ZbOdO	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	42.73.9.75
2018-04-24 12:43:47	b60f1372a3f4fe4fb50d5dad848169b0:mPzT7dNMsaoTBsU7ggTqWnTNJtULjHsG	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	172.28.19.72
2018-04-24 12:45:14	6cc10aa9e2a18af0f6dbbdc535e6e32b:elSDpORls3TBigXr26b9lr6Q5mHoC8iw	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	220.141.169.154
2018-04-24 12:49:16	2d36fe6a3b85b896395e0b04a2cb1503:Z5EulwNSRicCJ9HSRNd4b168BTxjh4JW	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	101.9.198.125
2018-04-24 12:51:31	5debf81896b01c0cc37d9500084fda9e:KvECIj4PSY7vbF26kMQUTzD1BwX0x7Lc	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	101.9.198.125
2018-04-24 12:53:04	5412b446b3b8a41504301cd56e59e5cb:ndZlKGGdPS0KyIKBXteWfdN1HA4dEaQh	Q1:米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,;	110.26.1.194
2018-04-24 12:54:51	8589685a75a38be81a61f74107e0672e:A39DFxvN47priUNevQfgktkH10YrJR23	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	223.140.32.54
2018-04-24 12:56:46	6926f5e1fce1b206817ec13479d1906e:JKVowBy7jjs1EkvnxsvEWEWaQiex07qA	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	101.139.84.145
2018-04-24 13:17:30	1a656bf7197b5ebb305e0bafed7a2f47:zsfKfz27Lkc0ZdkjLuJei00k6epqi92P	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	180.204.34.9
2018-04-24 13:21:48	fd7df80dbf007d08d543c2233f026fd0:MhwoxM2yBnj5VcuEZawbDy5X5dH7a475	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	172.28.19.72
2018-04-24 13:27:07	a65be421e271eaac763fc7e926d8d1e5:8I50GpQ88ZMR4HHjgPlsnW7lAIvlZPVu	Q1:安養平民化	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	117.56.49.126
2018-04-24 13:27:27	d4e2a40424ca1ae9f504e07e76539e48:jniLtusFGcdejzMeqTuUTTdhlh2VrGlF	Q1:安養平民化	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	103.226.215.188
2018-04-24 13:28:36	f74b73449958c611f03d13cd7026a2fa:V6T52h9pgksKaldv155yODyIGhsmST9v	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.19.72
2018-04-24 13:29:57	c00cc4f3268736d1a01602f2e80acdda:xlb0riJdGAz6MbC6aaYudLLdzOWMaa4G	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.19.72
2018-04-24 13:38:42	0c174ebfd9d8d361d38e0d37d64f3e93:9OThQ2drFE0P2PglWStXQOFmAhgtTYCg	Q1:與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	117.56.49.126
2018-04-24 13:39:32	309e49469eb34c1404fedeced7d2565b:iYj7ntaYyw6nux0tQ6Lx6tPI8Rk3HMdp	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	117.56.49.122
