2018-04-29 00:00:52	10fdcf108845ff3cc6ecd7a6fd0993a2:3umvcvZRZyP0hrQJ38V0HJbIfCxaY4bX	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	116.59.240.192
2018-04-29 09:22:36	67f6590c78266dfc096ac0fd4f8817f5:jTRgylDatLDZNrR9d998gStoJNUWepk2	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 09:22:36	d3783739deed9950a71927acc307c2e1:xuiaLrzoFxbIxTrfCIwgyvjIkMSa5mad	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.49.151
2018-04-29 09:24:32	62328d14fcf47018a2231eff7e7a7927:f9kdcSBL2T7caIF3cdsZiWEZLVWbblsT	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.72.192.178
2018-04-29 09:25:49	b93b13115798250cbd8bab79e58f1de6:0BQ5blP5kp0ivzwfZ75RiIsWhOOezGLr	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 09:27:19	9615d7bc95755e284520017539ab247b:xZywPwPT436ACihyYtgikpSKmHZsa5dA	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 09:48:26	5623e48d1ce032adb99f11bfa6c3af8c:Dh7m1HhajP8PPsI51M3SRhdi6B8gCKGl	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 09:50:27	99b55bb909581b784e92ff3fa7feee74:PJH0S01EgQh8zlpN008cWprTDBzOe66e	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 09:57:21	b55ec9e2f342d0de8c20963ddaaabed1:c7enNrUtWmh76Hjhs8o8x1N580iG04mX	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.72.192.178
2018-04-29 09:58:28	9087ca626048106dfb639b106ddd0647:bOnzEL93DvStD1yzOsP8LsBEvGGwT94u	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 09:59:52	faa150818ef38efc64cecc421881c0ba:DPHz9OODz74VvJV8Ag7TEmrxy5qRBzcB	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 10:01:05	af6ff750e8b177cb3818c146f673a481:vK0DbZovNJLWCw72ZHB3D11u6g1WFO14	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 10:02:36	e8d862721b43d043c29b1a9507f91468:djpKvhAGxLOKjjbcJKDu3cPQFoZUVT70	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 10:03:56	019b7aff57bc8dfc6fdb836f644d565f:c79Ob9hm3Psr3p78uCIHZnwSdwA8A8f2	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 10:37:45	c04cd11c1b0b75d0a66f60d4da0475fa:ZZZWcDy794R51JLAe6dzADtS2jVeUI1W	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 10:39:11	5b78a8c32c0e33cbadcdf1874a1424c4:9gC2sr0I4IWu2i8RffjfejAJJCPPWwG6	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 10:40:23	c56b410e70b513028480166088c59c10:rb9WNEmtSq24EsNUKCilRUnqNsvwhXyw	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 10:41:45	d6ccf4d9f3fa7078d2161dc87bf2eae9:Jl8WgjUmersRN5yp2BlU2tEqUrbTcwwP	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.72.192.178
2018-04-29 10:44:04	4015740750cde3cb4657d11de1a01b36:ouzpiUzHDYGDvNEVZVjzEBUk2eXHSPGQ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 10:45:39	9dd89b270718b9b51a10d8da1dd6a2d6:HrE27CJPqesrq1ibH957JE6yvvPUWOtO	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 10:47:17	de993544aee583446dcd5a24deba3fa4:2Fd7vIgu4tbBU2h5L695IYSEJJiMOub1	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 10:48:23	ffb79ffd87c0b98cd8b4fe884fc8b8b2:NcIYiD2cXh1XiuHYvZAHUczAyDaQQxqp	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 10:51:00	5e596594aa8d4d871aa3d30c52c9d020:S6MSYtI14Dfb0eZQQUDU2NtprGsfbHEE	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 10:52:15	2d7ecc2037e3426a33c8d05ca7ce8d62:eyQ4zveyeQ83HKF7fDKJXATuBugyZsCq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 11:10:44	23990eecf359059396a707eb1754a198:J5bQvKS9z8WTIxGe36OMPPWUqhSKSvYd	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 11:12:37	8254253b9025d39f250fcc1217e5ca6c:YjicUSAdB2DDHbfqcl4BdbVGrDLRejLp	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 11:14:37	88b0636a3241d0dd12d97beff9e4de30:hiGkDtClhGl87vj5SE9tXnU0W4q2uLM8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 11:16:29	d2d5641d4ddb15d97899bc55d1827552:iHxnrvqLpup0wRCjGCEoM2mUxwAxOFrv	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 11:17:25	92f08444aa7ecea469d46987870b12b5:N52WegP1cDuFKmcX9Bv1BRJN24yKNI2c	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 11:18:06	6cbf2340022f237a6b1677e1213e4a07:Mi6OHKOmZ1HyAjyqE5RMlgiiXJQmd4dD	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 11:22:39	c0010bccc99b5c7623a49e0712759cf2:lBsAq5e00Y8xkVoc1GIhVjPMaFA5Qi7A	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 11:58:53	77207becc956259aa25809805a23937c:nxuPzbp8bTpVRC5DgmteVJg7JYtCLZw0	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.147.26.22
2018-04-29 12:24:23	a1f8311ad9d30fd6d2409ab8c0839f0b:ha1OZ4gNSxUpgoO989bcIghADyGGJnXK	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	36.228.97.93
2018-04-29 12:25:26	53e5a76a1eb2cba2865315b8944f8653:BMzKDNIzOoDhfWTLLNDW9khy992KaZf8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	36.228.97.93
2018-04-29 12:26:49	df4914852ea23d294eb8794775ab1c8f:raYqHLMLLQcXLR7ufO8GySv4U1tVjfGD	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	36.228.97.93
2018-04-29 12:28:05	c2ace0ea64ffb35ab3412f69142a9c45:lIHUXfiJPpX9dT5BuPES2Zhve09v5tnf	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	36.228.97.93
2018-04-29 13:27:41	42af76a6451682d3052ca2ae174153fa:S1h1nfU1TLPcmN7zSODJKMm848tQiM2v	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	118.168.199.80
2018-04-29 13:27:50	9de66dd9cb0ea17a1fabc2ef22d75a7a:E6kuoRjrwV2KJ5XA1wNqpvc2yz7uF8I2	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	123.192.246.41
2018-04-29 13:33:51	402916baa3a3a8b5f83fa0d6770d310e:S2EICeIMDprtk3KR3jxJvrMPljLd2g6R	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	118.168.199.80
2018-04-29 13:38:27	7734e5b0b1590f0504cd740d5c46bbd0:oeA4wnemoGeeHEmY8rOpFeQQ2y77Dawv	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 13:39:49	2dc8ce5d4918470b8c2ada7a0c114348:JxkvO5ZyAG5yVxMx0zQkqcWrruBPwsp6	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 13:41:03	6112015e0e7b15016a14e3b4a6a0311d:B7GLx4IJ51rsai2yQtgpan7kSdXy9B9P	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 13:43:08	0682dee0da8b1e50047b90278313bd67:36RHUWQQurRp4699Re5mrXNtrXiq6ilh	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 13:43:18	5d1c05cad1fd274247cd3ae806f6f51f:pOtenO5OAGx1pdA3n6wiEfpgwpE0VZ7G	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 13:44:38	93aef31fe3836421f29fa1605e526dbd:aD8o1IROa7vVKsgexg62TBxH3DjCN8Ek	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 13:46:38	a77f1ec37394cdd80359f8a64651d1d7:FdWxROoFI6uaUY8Fn9jOIbSjeyMBaY3w	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	36.225.32.114
2018-04-29 13:52:41	4e1aea694bed9488a316f27b42366d1f:ThMCxYoIHfrIFEzgQnRrhOGyk3r8nVhi	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 14:55:34	b24d44b96f37bff62a2e781c8c5b7dfb:F8KuED8dB4kf1rD01r4cUcnpmF2Tlyfc	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 14:56:48	65e430f13dac4861f99038cd02b88e81:ocnWqeZsEFfzc9tqZLY4xiK9sXcoYKlJ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 14:58:21	aac7cdabaceab57719d5ce2affd54978:v99MDXgtdkYUAQ08bPQW3nUG8Fil4mOv	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 14:59:49	32cbf47f99c1f478162d9d80469f07e4:P6f59lyNRSEgsS5AdzAhF7JtxtlcghzN	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 15:01:28	fc0785ada80c46b07ad0f089cbe78317:BkBqHMPzLbgOxnCe6qtcemDjmS4OTICh	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 15:02:50	53b03e6d28e5f9bbc5ca241af9304108:NssBRbFPcCxu8pdjPJL3UeCArOmAJQO2	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 15:07:56	3d7e20ebf87f14fd72bc003a23952b2a:FYB9krCz4I5zgHivMfqNSKjNE08ZToXO	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 15:09:41	ac47d351f27ca97cecc25f76eb5b5914:hC62og5TtG038NOnPXbB5PWckZO5fckE	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 15:09:41	cefa6754d744803dd2505927fb70171a:88VnIGS9xkU7At7mo2egcg84XKgzuPU4	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 15:38:47	a3ba12f39f72a82c31cbd8153f9ac81d:9IxKzBtuiJjxGS5K82yI5nC8pBvBUUDw	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 15:40:22	ccba2c9e615ecf490efdeeae007b7983:u4MsLRjXPLA6NylegygQVaEZfP4wtyFF	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 15:40:53	64e50586d02a7a237330042748d31030:BtUosKfdaIyQyryIWEmc7pQCpYDvyeAn	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 15:42:17	17772dec482326071a54d28e2c791e3d:Lo8zTygOF7jn8njX96jmrQXUfBTOrC1l	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 15:43:17	2cc1dbc65a8bdc0ee4c7b2e8f325961a:xQj3fQ7Eo9QliNFC3knq17BhVwppEIWD	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 15:43:43	09331e0377a20205bc10afaf725fd5f9:WQawbzdLGhIJfeITQLbmB7wTES00DfKf	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 15:44:40	c6d31f6261a91da557ed6c47ed72e8a2:x1pRtbgbAAtMsKjHTyO7uYO45a5bXwij	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 15:45:09	49660641349118b9914c9e836e7f1676:0JJzYOOW05gqhDXquByqtc3I07fMVSnK	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 15:46:32	231445e6214876880de434bf87cd701b:n231hE6mty9aFv27WmG17569y6tLCnPp	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 15:46:57	09fc04c3677e048298c0ab2bdccf6e32:2p8fl6erEhpCZzhiVsQy4EjxGFbBB0bq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 15:48:22	ffaec6fc1d9c1e79c6bb8d1c82fe741c:yhgLTQtev9lZeZcPMJgbqzkNqUoaewoi	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱三：活化社區青年參與_以松山區為例,;	180.217.149.111
2018-04-29 15:48:45	1125db6493eaa8179a615fae1be9d037:I8ik6TReBpc8bq0oBjXxjOKS6JhnfOTU	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 15:50:25	2fabce7aa1250d3d0ebc44fe653867dc:GAFMfzq7CZcPaYIsSckRf58HL5pNhtiP	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 15:51:36	1694f9f815dcaa8abe51cc0b423fcff1:Uvg5CPa8C4JJwjCKhzG21krszEB2umZg	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 15:52:37	44da2d083541172a9b4da6fa46bf2b3a:efOY8Lve46YL2giTSgNUPGa8K1C7SONy	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 15:53:35	dc86188937f1d1f5544b475a4a754670:aa5OFbY4rEPQyAHH412k9ezU0bNl5ri0	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 15:54:41	7628bc3dea912f01908899422f8e06e2:SKjWNJKNbpxzeYoo8UnMBRXYD51UXwyT	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 15:55:30	a771fca1b441d5f391ab3f0fae7651a8:atvsX48GGHas5JQxSvhCvBu7mlGLRgGK	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 15:55:47	51540cb0216162de85c809de0fedf1db:GGRLM6Bk3FMc7PhkDBzrXRmq8EQql1rQ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 15:56:55	3c9e493cbb428b3826db411763035d98:BhOeRl7iewqRgxgauuwE7UYPBDsXz4jt	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 15:57:25	f39aaef03a12ab5352ae1fa39afc44a7:zhD4wUEYUPUzHueKgl0VYm5wMNOQraO7	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 15:58:33	321105c36e90585c2f58d387a3bcaca8:BTAimmqeTK2H937X5hH7EuUSefZMHGbd	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 15:59:51	d7d7267bbfd47fd721f9a2ec09628780:5aTVkqs8Rf0mZYA5nqRU9gHxKMS1Ig9t	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 16:00:04	d57e6052c7d9a360bf41282dc3ec8a40:henx6UrrYFGDRJp62vF6q3fsqspks9Ge	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 16:02:11	915f58a427c1777cd2b74055e80aec22:zQKlNU4BNkkVVcAYmbEqqR2urvDxL6ty	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 16:03:44	98282c83a5f313537bbc2848492a2efc:pg2MhB2agh88ETdAZzUE8aQqeUXs0GwS	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 16:04:27	10160cf2b267f0765c3c72aa27eefa66:Oln8GL0O7l1umfqB4OLW0fiAn1DkIMwk	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 16:05:26	596d9a209d353ea65016afc47adbb333:UsqEGbZMwzIWzsJpPtUlD1XweAuuW9AX	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 16:07:09	7a930a426a3f1343327be4c085be7072:7SCjoraryUappmRnagtcnQCFheRvAVGV	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 16:08:10	3ab928da8bd52e7702dc0938b0ca5e77:AJQ6P1IUOh9KfDVVhxGJMFIoS66jhTjm	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 16:08:20	8c3426e07f69d699407c9d504a1911b0:EBzm2T8dHzEF0Vl8ZfVqGh6rZtK9ltd8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 16:09:23	37959659d1e9bd318a6c3308c958ddd3:dYTZyuLZk5EmeM9YuzmhCbLSEHN78oCE	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
