2018-04-28 00:00:24	8de4132013aabbb09785a0843569e665:VAba9XdaWJLVJNpnqJrITt2GEBhYt2AI	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	61.228.14.25
2018-04-28 08:41:06	a9c5497323fe51d4ead8e0892ba1d566:MX4MhhFNADWYcGL4VflEodL2vmkT2HJ2	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:41:58	f047cccfe212fd886a37f9cbff10e764:eSDWS4D84T9miA4LWPORHG75UQLoWijl	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:42:49	a3b7b0eb89b49fef516964c65e0d7eac:QpfdomgNxuBcjhx7O70r5JfWafgirrKD	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:43:34	38de301de059b1c29ed73d51a73a08b5:b6zmKMTLilegi83veA5zobfiptPTzPQm	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:44:31	4a2792868dd080420e8c25d5124d9d26:jKZIt3kt7PjfLUTxOSQ5ACA8l9oxDQQX	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:45:13	3a9376810295054f0f6c8b9963ed6e0e:BMML3x73EBz8sxnKEMBQUEcUf3w4pusV	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:45:49	90b63ab97e8d1c21f4110402a2138059:reVzHfgx9h1BYwZJhILm2sZlEpqxIN5G	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:46:25	d8c42feece160c6eec1f15b767a7524d:TcQ0MTAmy2BcuIEpZNNMCINW6IYmSuq2	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:47:08	5e2e05615766dca3333eb7429744de5e:rR8NBgb5teAIc4FDkndelZjJdlzlbRLH	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:47:55	635c010e41a537a79cd51380e9a4ba22:hbsMfkT7Z7ILruDOgRInpUXnjv5Bpc2m	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:48:43	d50b27736e02c4d6497c6777b05fda36:2jPvP6DpcJphgZIKZv9Dt0R5GnsnXPXK	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:49:34	fd52b769df815498ef4ec205875ced30:uYxILvBlDej3Ot6gaHIRmRgPYs1KzJeZ	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:50:19	1163f48246a4c985c3b89d2533c34ada:CDmnhARW71cr0OsCvfJQd2lStOQVIaRU	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 09:03:10	b1dbd6af5933288c91b2b988615c584f:OrcWwbxpcMtyoKDmznkp6XIL3VlpNvtq	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,;	140.112.24.57
2018-04-28 09:05:19	a995abb3414ebe37a03b6ed510315a73:zA9vm0zUDdqieCDAQ0j8Gk14EHQsaIFd	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,;	140.112.24.36
2018-04-28 09:17:28	524d1ade6057de307e871f05ad068150:bIbBOWXNxIsS4dlIO95aobzG8FwCB0A7	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:17:48	a1a1984220d0f3ff47c0ea64091b2e08:EOn4W0d7axKHMS8IpvDYJWu6tt5QSqhP	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	172.28.16.212
2018-04-28 09:18:06	11195c00cae47e68fd372e342890343b:JRMIocg9kfUdzOgAii9uJhpjM1chMPON	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	172.28.16.212
2018-04-28 09:18:23	5b789d06654d7811091d29a79b29a1b3:D7dYfQ47q3sghTzH0tGb9MWrhSbloSQr	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:18:41	a73ce73a87c847bb4816ee7c93724a5a:geImGQGb1linKRS6bldex7a7uzMt5EcN	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:19:01	bcf82bbff1c474cdc9666e3dae4de022:Q8pUpVnQtLzAcT8RipI7E1hdBWrFHi6f	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	172.28.16.212
2018-04-28 09:19:21	73d4e902ad4f48eb7bbb753caa22223d:vBDc0rOU9uj3NTptzIn847H1zRzPyCVM	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:19:48	4a48accf37120a599c2753694e34c62a:0EUScAchXbMPV3N5ZWRiDX9KeBSfnP3T	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:20:07	cf90082cb7e7166d6d4539fc266e2060:QrWVenz69joRGhMjAZW6YaPBbI3j9zSz	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	172.28.16.212
2018-04-28 09:20:28	39b372bbfd9bced7c9d30cb71f9ceabc:ZIuMzdEnF3MgYzvB9czauMQ7ZCIBEle9	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:20:45	2ebfa8066acc4e5621ff5aa2ea9bc97b:WICsRDFXrMg7yRFtrYeiAKXVi5Gv4ve7	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:21:03	850de28d29d2ddf408a16bf9599b5993:gkeDRetjxvLqEcAMN30baf58DHOetuNp	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	172.28.16.212
2018-04-28 09:21:19	d9fa41f778da29f65096270ee75f920e:U237fZuTzEhQZHj1rRgYvn22qPqZO2ff	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:21:39	f35db17003bea1d02319db1396180f12:kmi9ZvqWPjvZYUW96HyVJaebd9JhSOQy	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:21:58	f8f5d5da51a9be7f6d42cc08637f3f43:cl5yEWcRgID0dYFkPPWHfiJuHIoE1yem	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:22:17	cf9f7500ec22c4febe32e7517d26d5c5:yOTGqbbcNJCAQyw9dz9nK0JrhiGPxhab	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:22:34	45a23203868ea61e9078192e7a48a48b:WXTYdpEtVXmdYmP5ZtB1qlYovvpsYGCr	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:22:53	bab2e4873d9f38934860ec57deb75c3c:skssGWUxWosijxPzci9KQVllQZebrQ6b	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:23:12	7159030fa5749ce077b4a9e1f4c64aa3:Pw3WNIwDjffSnN4twyagFs5WpcqS8R8J	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:23:12	8df62d9f902f258075a2dc2b54ef945b:bKo4ofG0o30eLX9rUUuky9nXvAZuYEoW	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 09:23:30	073637a3b9c61c5d60cfab2a9891e087:DKOFO1PDTMo731kLxmLwrNC4NGn1sFU6	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:25:06	e6b72e09efdf413dd6b7eeb9e723a266:6RtKMRIwCBnUXcbOKPxZ5JK9jxPHrAZ2	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 09:26:38	e377acd59d07e6f2a1eec4fe37def397:Qc89XRAtSTi7pLH3oSECRCR1Vacfu8G1	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:27:01	75da86364e9d26c9f3b6dfb058b00a2c:NYm3fiYbNp24J5ZXKU0hsAsR9eVhCHss	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:33:04	29e03e8517250c8de4872aa063b74efa:5SnqCVG8nuyyyvpq71yME6qKRqaiUjou	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 09:34:57	e6fbe23bb43fa21c15e5f91ed2996552:aziQ75MbyZGJhaPXCYkMPmpPsweQBrWx	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	223.138.184.222
2018-04-28 09:35:03	ed911ef87cedcd8c159dbe8446b6e748:OQTFpkP8q759rkExLrMSSVQzHDlAHg9S	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 09:37:55	a2291f5be677cb4faadef05cdaa5866d:NdibE1DOIZ67HXh5KV6VBCR3KLK4K3gN	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:38:14	9887e43cae093d68c6bfb283a369cdd8:dZDr9eCPrukWhAB5Onpv2bxhL66DLh9a	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:38:31	c0a64183b6b7111940b5eec54873bf5a:x5YGgmvdvZN8eTssTcQaAHPaDzs1tmIM	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:38:49	495dc0fa5a62462c1af0272fc13a6690:eKTQ4W8FGBRR1wEFZjqK18koKAcDUNz7	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:39:04	5b062f074c9585cded60455ab565ec99:01MAPATZUEjeWvYcyfmqtnrjAV2NJirX	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 09:39:08	95a386b0a64bc8ce4a8d37b99b274668:RU2c319acUxuc3oalTDLJwJ9cIz1n7cS	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:39:31	f2b1a74117e5b921713955c33b03454c:P17rjD0WyCqG7EHT697VUZnus3H2dq6G	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	172.28.16.212
2018-04-28 09:39:51	b549fa42d36bbfeb97d31fa627bef174:IgVQYS71oW2ShYZZCKmGG6yaCtTA04zi	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:40:10	589d749fbdfed53ba6b8c19d9326f1d1:mUSBvW5zbfemnxozZ1H0JWuycVeNkdCU	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:41:35	828fc6fef23d3f9aa889f76d3a8dca0b:Dtr7sTR6HGZLGW5Lu3eAdU7Cwk5mzfTC	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 09:43:18	64d06269641daecae06cbcd418914b36:A0pA1U5JgT3uR1RWyYudw0YdVx7OllXD	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 09:44:47	d83d102ea21f2bb2a05eb9f2f33946ce:2HMmj7TTGLyAEk5XbMm5g4apNhDTxcGB	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 09:46:41	6275c23ae13e95a6d1fe4e19f0045250:WuckQKW69bDBVNC0v5xtAs1NCvTDnDRJ	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 09:47:20	9bc5279fc442afa82ac00d9f70662e3d:Ym5jkjZOZ1xpXJTbXjUicDjkGLYN5ttU	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:47:43	b6d60abb3d5e6c8053d5e86cca0f2488:ruLbAlr6dRW7EcsJlboGvmKOiJt8CdwB	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:48:02	bb1514228c09d2d4302c943cd7e023ee:1tFwBkog0S7EhY3D70C6aX0EYljZZfBs	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:48:19	2b5aef6b4c16cacc3ee0f0da0bc30d8d:yrdepQqFX2F7hOcOpwquzdZiIK3Yd4fl	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:48:37	785b7f4b0b99047b2dbf1e24884d218f:lIsqZjBkqoVbCSicLEyLt0Mr8DsQv3a7	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:48:56	cca49ea44634dfa13b2e2fc74ecad3c4:lnE0ao5qIj7GqPIVrKdxx55DlcdHqClj	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:49:08	e346ea00f0c806110de6ebc092c96557:DOLwJ4TqkzzYDu27s7Gc9ymqKnGIJg2m	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 09:49:15	7d33864b362a794c9decfabd7825db9c:GE1s6IDItUMkalXWZFjcl10aChW6fQ1D	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:49:35	e948438b1f839f2afb74ca4cf375510b:tNdC7bCjvP4eL1kgcszbgIveJTnURr9P	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:49:54	2f79390364313d1dab67a7a8982aa80c:p603vdFg2CRECBUkAXZ8r9PW4p0IpG71	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:50:12	236ef458311153a3fdd3fdd8f811ffe9:CyXndgHs5Vzqks7iGXHtKmiCV25bjiW8	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:50:30	aa4747120a1c9b12146eefd550822f0a:KGtAuyrcTKEBLPIHeHMWoyNX0wDTS9wJ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:50:50	dfe5b2effc47197755c24bf8ee58b754:IFzHbXlWJ07ap8KkSTAuO9lV3aa0i6Ii	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:51:08	9644f63dc426614824da8f0d3b96105c:xRti4wE0IXj5UJjVs8Svd1dYdHH4ZExe	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:51:29	8103724f066b654932d49d4f22b3707e:3FCylRj5LviafUK56tGGhKRMTXg1dex6	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:52:03	1f97496cbda20e5cae0778b4d0ab501a:HfxN78LvnBNb6FK39gceVouFzOpeNN0L	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:52:20	ba732eccfb540e2c026b7f913a8dfcc1:6sGcFHfwu8MEDKpiAuIKNpIkL8ItQVQr	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:52:39	0c7717e1a2e1f4ef3eebfce253f87e26:8N3LxLCevJY6crQznn2pXEW5UnG2ZkaR	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:52:57	0225fd1bbc372a37a744175ff9bff1f1:8e9BdAtklGVFO5oOwB347uBCKcLan12Q	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:53:18	cf31905cc9887fc44ac6505b7e6f6543:fuJHbKGWhgzfnZcX6zEk4y0m9M66e2LH	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:54:07	072409d5f5f623135f48efa553f5e0a6:3Ly7eaOovbCjMqGhDYIHgIS0MhqAfAst	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.138.184.222
2018-04-28 09:54:21	998a18030b43288785c9850ed92c4ad6:cu83UsoWqtzBFXjlkupGPDlvN7k4RY9K	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:54:38	cc982355d8e0b79a43a8c191f29935a1:T0oFd2EBuL3byeppiyjMDd8vpBAWjjD3	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:54:48	750178ee8a6c47bb04e52f317e46849a:7OehGiCgzXuiJCibV21cXHkSltT6aFEu	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.140.68.118
2018-04-28 09:54:58	2329529527c807f75ef1e5192cfb7572:sQZvYP73Snl7jzOCg7UQchpsAJ3IEnAy	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:55:15	0a8fb67e34c9e3b376a31524915edd0b:8WHCo9LQ9ujiJJZSDRKKnn9p6IlrvB8p	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:55:36	d0756c62e5a1600e8d37ebf3ca6de2de:uDibSk6Wl1Gi6eQXZHosStYuxiyzB7gz	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 09:55:53	da838fb8c0252b0e1a2e69af13666ad4:iwJ4kXMiDbD0gntXWHImTCuM8IcDMBDs	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
