2018-04-29 00:00:58	3da64c11a54f8b9c87c968c11b8790c5:EEVmr9C2WzOTtrAMlhX67mX6vj2l04nX	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	220.141.67.97
2018-04-29 00:08:16	8fd46c95423f388b6b14359b1ce88661:9zqNtMPB0njpHKcjiyvyqmg5PB3wAHs0	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,;	220.141.67.97
2018-04-29 00:08:35	0a9ae339f123ed469d00a3989fad8679:dlWRCfLQEfB5ktuEBYF7O9IvykNltwkt	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	220.141.67.97
2018-04-29 01:36:55	a3bfacde91439da8f5ed935d8c4dc9bc:xT4AR1ZRYHoYT6HVwfvAbtYT4WkE7jfP	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	223.137.52.97
2018-04-29 03:24:21	3643f0bb9c6bb29793ce743d63490674:NeHqUbHpQLWYMeywBL8nOC3V29alSFNS	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	36.226.10.174
2018-04-29 08:45:35	268f392b895222ab8b696a8fc641239d:hBYUL8WXMJp5TI7SjMWUr6TzuxCsaiHW	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	1.200.195.166
2018-04-29 08:46:14	1837dc5f89efc95d13de23a00ba2bae5:YIYcIVrgAmiCYtojev8Li7cVH3FDLeV2	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 08:46:52	9b57ec9e82c555f92ec8ae1865860d21:tfzptTpgvkxqYXhyLMZ2FjTGQ68Nek3R	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	1.200.195.166
2018-04-29 08:48:25	2953328ec57d236c6240224b20b5e88d:AJvMtj0wv9mpKmBp5EExk0213TCdMvJq	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	1.200.195.166
2018-04-29 08:52:48	2869c8aa81f63fcdcad2817032eae75f:ShMp0s4SHkuY29CSXPDSCJ7apfFhjT1r	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 09:08:45	70b2e317a4884236b1a1e7f604dc01a8:I2TYKpeEFY5A9PdSCJTQqCVbeUkuW4qO	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 09:18:56	5eea273cc904bc77b5cb569f355fc9d8:grefMQSUiaPTOYJkqCc2BW9I5ddZUxEF	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 09:31:02	0a68ee4b94d61e63c22910e93ebbd30a:Usc0m86hdInCjmJcjaywTuI7aeuToF1r	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	1.200.195.166
2018-04-29 09:31:39	61a5c1481cc8cd3534960a710ee7e05d:iteqkiQyMVEZKSQPV1oveCZTovBE86Bl	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	1.200.195.166
2018-04-29 09:33:16	13cbb2370d95bd66777bfb67c204a6f2:3sPestZdexQmQZigC0ijFBNsZRQmfzKc	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	1.200.195.166
2018-04-29 10:03:47	7c0271e9a8683c67bc8831bf8fe7f3c0:IOtizTQ3884iGqQJNc8038pCc4HWfoVR	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	1.200.195.166
2018-04-29 10:04:30	b555d1159523f12879239bf78aceeeb9:RIBXQSU0b0Tt69CoCqeqrNVp3T4eiwn2	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	1.200.195.166
2018-04-29 10:13:41	83e316cc3899580522d965c3df112427:KW3S4T2QkgvqhwvqKrw7mmOO22CrB1nN	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 10:23:42	6702c5f72c9123cb2951b84ce7b0f6c7:hW2enCQAdPC1xRWyzzk8QlefpVLZKZGB	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 10:35:24	97ec0cf51cd1ed590294374b7fcbcc3e:fu2Ky1QGjdquZVFlAgn60rCjX7BBbkGF	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	1.200.195.166
2018-04-29 10:54:36	8a87302523fc407a494b55b5c0bfeb48:Mh6hC5QXTT61d28tvjVHmEYKr7Q2y7je	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	1.200.195.166
2018-04-29 10:55:27	53d582f0dacb27d742e59bbef5cd16b6:Azs2WrSNCZhuBzh6awUizxvJCGY3hWuE	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 11:14:13	fc717d5b41e196eb6f6cb50ed5ad8b48:5WB6Z3ZaLr4PP5LdKot2iczwGJ3RtzVn	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	1.200.195.166
2018-04-29 11:14:53	040aa836d435f0e0580d421b9d92a935:Krxf4JglNohoCulPrajvKaOJ2sepUdTz	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 11:15:35	7462c19d03d87bbaae13f2b78acee8c6:o6XBIqvrkQM8P5dlRpFyvXqC7ryN8u7Q	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	1.200.195.166
2018-04-29 11:35:07	2ba49cb0725fe6434a3a0490b5119b67:cuItK5M7K4GyCvFKYmn4qJ2DXdOZCaiJ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	1.200.195.166
2018-04-29 11:35:49	9209bcb752a47c18a1b38d7b5485a5fe:dqGo6btZJ8e23kNx7dgBB9efd4IGNyk5	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 12:46:05	41e53f29e9cbf4e0f1e707ec40fe077e:wGJpcekaQ9FsdzxXORvnylmLKzu3zfXi	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 12:46:58	70bce7536a36af1e9d0c46885cc5ba11:cHWDV82e7jwGdWsAwQAjBoCNNPohSuRv	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 12:47:12	beda20ad7677ea72cf296586f3f68ba9:FnJobMp1oGu2sYDxzkAJHCAhDS76Ietw	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	101.9.132.125
2018-04-29 12:47:39	b1b648fd21a660d89922b9f2f9619aec:ny2OFaiPJqxV624V79pp0zuwp5S1Pk63	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 13:01:05	ece5fbb36a6a4d81ebc6d71fe70637ca:gWKUZtynRVBvdl4he13AU5V9ygira9j2	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 13:10:57	c34a625642eff8ca690adbaf5dc07185:fluL20ob14ONiPRppyF858PaO299FjoD	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	1.200.195.166
2018-04-29 13:50:09	9632785e6c24cbdb26dd142fd1ae9753:HjKL7toPqpGwKhrOAY7BO1XvxR80nLNN	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 13:50:46	dba55346cb84a1c609a3595efb85dc58:YNAIz5XBDO44B11Yrk0tfmNhiUZxklTY	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 14:17:52	f4a99ccab732d5603f52f02650693995:XfF9vObI3j3XpKJNA1tnfr2xhEEQOTXF	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	1.163.43.250
2018-04-29 14:24:03	9a1760656becbc5e047d7126560b5685:wwDCG2WRzmS3vm1EKHKn83AtqF7u4prY	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 14:24:53	d08f1db7345b01fc9141eb92ed59f2aa:5T7CxvvRMPVJGojvWyUfHL9cdRZrZsub	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	1.200.195.166
2018-04-29 15:11:48	47ef4b85819066e523a0db75e5d512ad:gkmCLO23andDCyed8KmkcbkX2zD2H8W4	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	122.116.210.197
2018-04-29 15:33:20	0a0dad383f78772942e584df55ca8ad4:79b6x2Dh1HF6O0BA6dRQbgXYRjSwH1vp	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,;	180.217.165.115
2018-04-29 15:36:36	53659f86c3ad194f92ea91b6057e1b96:GnnKWXPsLNXHLKijckBevUbQ5Vw6668Y	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	1.200.195.166
2018-04-29 16:47:01	89c77d549a6a56248a1a7e82fbee3e37:VsUTvYiHAFVFN0oAjJFair5lYO2fB8DG	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	219.85.84.244
2018-04-29 17:01:45	84ed528ad9cecabf13b803da4986f6c4:tpt0cOJZTyiHZ2KpzagTk4uxg13VehYq	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,;	49.158.25.197
2018-04-29 17:27:46	acf9009e969a4ff4aee2452a31e34188:vcuouc9IXd3aFToRIjxYFgV2lh2FEemk	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	1.163.51.86
2018-04-29 18:49:48	4682b07aba11072bd9fa104947b77705:vB4sqvIWwIVNTERDs5yOlmIJrV3QitWj	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,;	180.217.165.115
2018-04-29 18:50:40	fb628f2527bfe11d84e6b8173d498f85:4PHyKkxAwxRBr7t5gp2cyX6voaz7jrO6	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,;	180.217.165.115
2018-04-29 18:51:36	c5e433c222ad3bfdc659adfebd3adad5:Mq0V8CiAQGf4PWZmZGFK4UDLhAXq6vJU	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 18:52:36	1be65d16fbb0c03d22275a0d113efc95:EKo0VxxGmZvePO8RzAhQnrOukEmNxvlq	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	180.217.165.115
2018-04-29 18:53:53	b019ac0e49602f1d6c36009d5fa8f1e1:E3Zzfp4w3racGzQRpeoPjGuElmHaD43s	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,;	180.217.165.115
2018-04-29 18:55:02	6f13a06d80f9e182e0e848ea36966b28:NywVXVyLuerbIBAkZ2hao3mwvBf4L3Vh	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	180.217.165.115
2018-04-29 18:56:18	1a287d9b14d6ff3a604ec45e4b70de4c:b7zeOsa5aSk8knsvQOPbx08JXxR5CNcD	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 18:57:41	e40a2fd64e394b6a044076dba4b36642:G8vaUQlflWkDHRCJ5OjKqoVYd01YInsL	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 18:58:53	20ad410debe589caf2e9705edf9651f0:39RPvnbqQk38yIuOCvbavtuWP8NTOYTf	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:02:27	ab9d1307ef0ef9ab6992d0b01a2ec424:JjLF0V1Yx1KeQvibpVrSpnwE6cfHCN5D	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:03:51	cde0fb02236742eeb672c2a48553ccd7:n887b4sLkjqDfm3koOluk9R25GDL4G8J	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	180.217.165.115
2018-04-29 19:05:36	45dbce60f2ced145e3a6620ebc756fff:Ij0sxL5U42FSNylxUomLz0bhjGa9bQM3	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:07:29	b9e18b1e8469badb49b908fc7142d492:Cai1Zt3a3HNdaZcHzBR9O4QF93tO21Te	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	180.217.165.115
2018-04-29 19:13:58	68fee0d35c36d3407a33b34220b14672:6yBCGDaFwaKKaEMjXIDIa222vy6hoGEW	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:14:40	54d2fbb8545c7665776286bb06f466a1:cfjqS8KFwTpzkoMPQf6sNuw5qhOhMiCY	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	180.217.165.115
2018-04-29 19:15:20	d2acd1c882906d2907a7faec3dd481a4:oDuJb7fZwNOeZmkV9ksUAE0SLQoNkov9	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:16:05	2a5eae9839266b0d80035ff42080f00f:1UU8A0XrjeR8TOmXMjDjwOv7SvQOpPEY	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	180.217.165.115
2018-04-29 19:17:11	45a5dd4e5f49b35dc42cf4e0584afccb:wh27XPRjWjOouQB2onVqyOQ7SkZLfilJ	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	180.217.165.115
2018-04-29 19:18:10	c59cc5d4304da9ab90c532b174bff809:RnTNN87zZwx83jMxCh7FcKomQv9wKjeg	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:19:08	cbb46e401f8714f497d249fccffe5d09:nyLw5OZcRXR7Xlc8Nkrh5nE5Q40SChzX	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:19:46	6f6bf35ebc24d22a59b09761de70fb5d:IuptyvhMxklO4AGaAiwsgQQL7ge7RKQT	Q1:綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:21:04	3ee2ff7f6ffbaa04bdd6fa1e5619d792:OUHaA7k6lUzXWueTSIMgWie50AgXtoyN	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:21:59	68f6786d186f74de6a55e4739d345aae:EPOeAXjho2xL4KQ48faWDr3Bkco6WaMb	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:22:36	76e3f19ea91ae2f92936213232285df7:6dedgrgjkVkl7JdYOU4zZxR8IMI87mQU	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:23:23	3a4832b5b3115bf99961f3429cf2834d:KxT79LkqW8LYV0tdsiE8I81u5RCKnbqM	Q1:安養平民化	,綠能台北－由腳做起	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:24:18	7a658e4addb050157f70c25a3d4489ef:mV7pXITIIlO52hlnr9LhanA8b8diCK8I	Q1:綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:25:06	a0a5f21d79d318cc00786c0de3b99f42:M23KKTj0HjrbcP7Hu3FKjIQb2049viGt	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:25:56	b90e4327384fa058f6a66734c42b0883:rufL0LjCNveaRXjf9B47XYLvwgVqhhnm	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:29:16	e1877a4e4565b8ca1724ecb9d456c94f:TX0NhndBNPGHjy59ruxrs3DFmOUx9Ykc	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:30:07	f212a2426cfa24e0f77d6cfb941b9dd2:VyyzAgZOFsgboz7Ow6uSwl0bTNmtDUci	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:30:42	4933a8ba8d4210ff473bea563bf49a65:fU81Yuu59iDu8uYXPOXfElmlQXyB25jW	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	180.217.165.115
2018-04-29 19:31:16	2f11cf999c2bc2d98bf804e95004efdb:ltIgS5T0gulTSFec13ci7LzdYps2STfo	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:32:01	4021237411357b74e981f4479f21a9b6:yo2GbuI9bOvlUhodqzBVYO7luN3VTSeW	Q1:安養平民化	,綠能台北－由腳做起	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:32:41	56ea398006db79b49ee28ed2062b6bbf:rQ6bdIcfCqzf4NsjuRP55fvjLOqYicGp	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	180.217.165.115
2018-04-29 19:33:21	67d342b96a5abcd914d94bb3210cceb7:8kX5E5llJoiDdiiLuqgXUps8mAp8cbGA	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:34:11	a71012effd16ab11438753bdb45a47e8:mnep1USbSFT5RWIZLSWSZ8Le4Hr9G5f2	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:34:50	e7317d686ddbb8367d76149cf724eac2:rJRUO7Vn6SylhdYPkFqknX2nCrmX3lBM	Q1:綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
