2018-04-28 01:40:31	0e4b321377e631d9de210802108584e0:ILCo2tFHxvDhQwye44HWBzzNSZFm1ipD	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	36.225.52.244
2018-04-28 10:11:14	067571660e37248b6fe845b9fd8cc229:FNE37sJcY8aZYujO9zOEm1i51BVswu6q	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 10:12:21	ec92b537d2488574b147b17b8ac6d1ad:sk8xpUoGQLotF1eWc76Bw4ulaNTT32qE	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 10:13:48	68a0224792cd28d7d918948da01e1042:Epr2OwdImrkJr6qpaJghHuz3KrBQOsYq	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 10:14:59	615a25d5ad413282d99547bf0e940c8a:wr1jUk87DlsRpUPOproxM6YKL9DW66UC	Q1:公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 10:20:32	9348388340f7176c0daf051336dc94c8:7ydHttD1QNviigC3jcrrrjZ2943guV5O	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	1.167.48.199
2018-04-28 10:21:49	951460ceafce417038f8e935545984f0:w5520Aup7VucIgJEYCvWXAPZNYMpPjyY	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	1.167.48.199
2018-04-28 10:22:53	f44321bcc00ba367aaba769de0edb8f0:SFc6Q4I9sI58vLz733rc9lbwdFyZFsSg	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 10:24:01	0552582cf224ffd4d68d028f8d8ca7e0:jjmsvTjpxxpAqaqu4IUfdDilXgAqhH4K	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 10:26:37	da02fa500097849b8ad02760aeac8ef5:YmSuGiPuH0ISQUnkS0RTQ88uhPNwUNJ8	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	114.136.197.121
2018-04-28 10:51:41	595e601afcd4a358981e2f7035fe2801:4jaLzGpw9DfzkZS0E9lvjADeZ14wDLqr	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.128.21
2018-04-28 10:55:35	2cdf5ae8dcb062aeb7536bdb17d2d41e:tkrxO2zYa0rx0V7FR0WTZxRpDJbT8XYr	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.128.21
2018-04-28 10:55:41	29e13750b0a1ba47c68c456e24d75acc:BOIBn2WjOiznp3DrjH4tvyEYWrJdC5tJ	Q1:公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	110.50.134.204
2018-04-28 11:11:34	614c27c4834f258d151de2ef1a14ecc3:S6J8TLhN3pf574IXtuMuOqEfRCBBkkgT	Q1:公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	114.137.60.171
2018-04-28 11:14:54	7b00d048f04eb1a71f7f392d03b7cd15:TC1ZJcTleqAhJM2lIe8qdeISLM3GUcGl	Q1:信義後花園-松隆映像	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	27.247.134.147
2018-04-28 11:33:55	b185ca881001e6634023916e7adcf110:WOiHJ1ZokDFFL6qITmfVekGX2TE1P0No	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.8.225.204
2018-04-28 12:15:13	23af5b2b8837932e0cc6dffb5c363070:ZlKTKILNqSvSTfFXrYjih9XuS0CVVlCv	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:17:56	fceadf3f16b67b2a3653e315ffa79dc2:c1MKVU4RAHLO7cxQVtahCOGtBPMAuguW	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:19:42	c5e7caf1ec384fd8b14936e36cd648ab:MzBDwtwV6eEqhkOeaRULYC3uPTjOVjgr	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:21:01	4ee8bc4ab8cf64d23564c5b3562c4503:ZMSXwYZZcNNU690sdi9syBj7Dj9ogmaW	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:23:05	63e208a5179233806f2997b4ee111979:fScnrBpKuyjn8qYj5jXU49IZ1bfFl0Jj	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:24:24	8e0da05b1aaf424bc7a3f055b2be00ba:zbAA59YqHgY3RIJp38atqQgHNgrgKOTr	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:25:56	f75c1ba4f8bcd4034de84f38502d5925:IiiR3pofyGztPSXXREFyanHZ26i9FYJI	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:26:24	7355e42d94fe440a508846e483a287b7:lp8PQpFZ1nwIvSHQkMOXEQ5staGN4k25	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	117.19.25.63
2018-04-28 12:26:59	6e3680ea76dcc45aaad5b2197aead070:gQLORcTX42OJ71eK3YJjzoHEEJwoDgn1	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:28:18	ed9f9c90b50d46fefc0e8193ac91af41:bom3iyaVlwnBwHsgD7xw7XT6pBL88chU	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	49.217.68.26
2018-04-28 12:30:10	758e7b656fc96e406382c50e76372561:sGU1nc1TZ29c8YxYpfPHlYLJkIqvXrtq	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:48:33	ae657f8b42ef477755215bcf6b3ad2df:EeyXImB8bRUaFNBlTKF7sc4oATCkDE7X	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:52:15	f5a04ccf8ad6e727acf79e87948b5757:ZzCTaMSn3WFnoLUcXkGknZcUqq9bdUkD	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:54:03	61d5e4203138a04c766b9b44ef846bab:T1Cc0p2v44ALjU9cIRr2GsgE4eIqduUT	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:55:05	b5b0b9dc540db2a367b89e23877f3401:qCop96thUze345YKyTBRTx1035feiMQN	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:56:49	4f8c727d24ad42ab33f15b9728e2ae97:hSdoa27AboLhOV87jiMiOiWp3Joezn1p	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:57:36	38ccc0cef98e0eb3004906947d31b59a:YVDGQWybQVnJkprRKsotRu3TUVVgD16O	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 12:59:28	c9919cb91831b6e902d504f2b9d4b52d:01MZ3mNPh8wL5Dd3uJjsSX1vuML5KnNc	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:00:29	b7d4224fabafa8f1cc5be0c27db00b45:OoUjop733GVdXaYRPVU1XIHgRvycymVu	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:06:49	513382a211f94eafa4eea1a73c1550c2:xEOxQX9HX5ODXgFLLVwUj3w69doclUOu	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:15:02	20174816c81fb2d5ee9fca3255e46967:8uGB9eTl8qV1rt3CSYfskpFOZbKCldlO	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:28:19	58062ce71ff810002d7c267fbf1179f7:ptCDN0Kig4MmNLrb4pMIX4MqXu6CGXpr	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:30:39	d6b4076401b84bb6d4cbee0b5fcdd246:7rA47fp4Rx3tbGe5Y0iL2zel3eXUilVD	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:31:28	875a733971e1fbe1c58e0e43d917c67d:efsIhnwvAkvoA5ytQTvUZt6LQ4Pj66in	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:36:55	1795c271a36fbc0d985f9a66ede31a3f:CJqrgQr1h9MqtQCGcxIeonnUCELeuOA0	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:38:42	c178e5f435d7b750158ba45f1027e030:NMKvMJz1Om7l7vwIfVlx8equf9yz06Ra	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:39:59	5865ecd842a03997e6773fdabbbee569:sGIbxWuPV0KUZoNs34Wh3Cz32QyrRQnj	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:40:52	646342705f473660a7580047a071faf8:zGGN6d8bPiDhOpzLuOCwxnNW8lZHm06m	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
