2018-04-30 00:12:40	b1bc610795a33252ca307ae3e5e34258:gFqyOGdOER18ULQwFvYF6Q6mZrzhVUb1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 07:44:35	e991a57746b1ff089fb9abe14873bf2e:RYbNW7ofz3zDT6V9UheHdHZA6XKnHIgW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	27.242.230.51
2018-04-30 07:53:34	16547614ee0a303fca14c7258f66d9e1:2JVGVlw7nX6mN8SVQo3cioi9sagoj479	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	114.136.56.160
2018-04-30 08:37:45	eb94827db2ef9a165c2742e4a43e5521:poYMFSFEfzXya9h8lEANhozIxLRqpNRy	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 08:38:40	69a3e0d0bf826f7d3d16e1e7f320b236:zvkXPJsabUJ4bMfzJHNLriegQRlejzXm	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	223.140.17.28
2018-04-30 08:39:44	995918e5fc5a77ac4f67ef30abdad3cf:GdKA9etlnjQa95FidUNIXgh3FLiJ6lCF	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 08:42:04	627efb3dcfa26e0a3058292091168457:ikov3j4M866iePlnc8aIoZ0QjDRtPHd1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 08:42:10	fb398650edab7fb9b49b68fcdd996bd5:Vjp5sXLoPNEfXvtTY68CF1GRlsWbJ7vW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	117.19.203.66
2018-04-30 08:44:38	4b51c3d22a07e740c6eae6595b0fbb97:IQ0R98dnfxUQAYEsL5ctYPWa8Leepdci	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 08:45:28	a19d42686b904f2fd18e1e3b18b51c8a:vllPp8923DzgSveVRFtygvUPUW1ad4bc	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	180.217.107.178
2018-04-30 08:45:50	f9c88e6e302fbdd6c4d0cfff409876a5:Bj6MkYHJ19p4VqnqHVKMIchlYZ7AcxYv	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.147.132
2018-04-30 08:46:29	b55234418639749b4fbc3fb54e158110:twpkCkS9iomVUfHQKHiludJjomrt0xDF	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 08:48:12	501a0019f21dd8fde2be6de9e26ff2c0:7Uui9nhHu15prk8kouW21I3vfDAMiqdi	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	49.219.167.29
2018-04-30 08:49:02	e7f394ebdc0dc067322488d2f2650587:QAI5aQeB5AX1lwmFzohbnBy2wxDywNxD	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.167.48.231
2018-04-30 08:50:33	2085a8a00bb65359fece926093e4db9f:A6bpUKpfKBI5tmky0VkKse1zjfIuiNnX	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	223.136.108.228
2018-04-30 08:51:01	9f474482cb9af1a5ed0ac67df3e5a134:zbGmFichR23VaOe6X6OhnDNhgnVFYkzT	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 08:51:14	0359cdcda4d01a6f4ae040e6db664e4a:QGeigJbTZ04LHJxXBJyPltvQgnsDeBhA	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	101.138.93.161
2018-04-30 08:55:52	d3f56db619a9723179578169dd75ec19:Wvm9cUd99wNVul0dTPNBJVtXllLt6os7	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	220.134.21.64
2018-04-30 08:56:05	279b5a30116f4acbd85c42b3592fd06c:S1qaAh7fGxaqY7EuUqrMGrHg0vrNJlkW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	163.20.242.78
2018-04-30 08:56:15	fa95166dc2ff132cd6f312771b5eac6d:kLhWdC6CeromU4yyhtFQ8PgOPgbb5OWH	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.167.48.231
2018-04-30 08:56:19	38d32f3c1ad74526db8393848607236d:0CAgHRTW4S3HEDRlSgkNqNFFw2xapebP	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.215
2018-04-30 08:57:14	1f78bd7ebfcfe3dbe1f413c95ff1f14a:BH2T0IG373qfSYBKZCqJ7hdOSbVyPnu5	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	123.193.76.53
2018-04-30 08:57:15	2bdc5c0de0373d3adccb564c200ebbf3:kDJ4PfvjHcqSchUX7yof22ZN7X0lodQx	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	163.20.242.78
2018-04-30 08:57:19	98e0b0e9e87aa48ee867ffc32a920ca3:UxRO9enKEajTAkeyurBB5bG74vKanxmW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 08:58:39	59dba537bf923678f0a0718f8d7c8499:5wPtSkj9qJQYaadVfZkvzsY3saMIeRqC	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	163.20.242.78
2018-04-30 08:59:12	89cd227f74748938050a9450bc20ad65:EJSe1QIlFDx14lA20PdgGjGPO1lMVSCy	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	123.193.76.53
2018-04-30 08:59:29	6bc6c700b8c589f8c4ec0b7f1a0587f0:cFbAG5U9fNKyczFWjaZKWITkaHrl5CBD	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 09:00:56	e5b2d0f9b91cf21428556b3844439ab3:6gsKJfnxcLSY7NngrHeyzc5mlzqc1rAq	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.215
2018-04-30 09:02:05	dd612ea7494a34205455f03e5ce21a64:KvC4x9qMOfzMu6lvdgtgVMKpNcf1r5UO	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	114.34.118.134
2018-04-30 09:02:19	37a044add791c86e275a6807e95f3f06:xoygxU5pFIByOZOE55gn1cigqh0mlMHu	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	163.20.242.78
2018-04-30 09:03:08	5f0e8abd4427838fcf5499fa5cf49b73:UY3ssPTCGAYx7oF6BJibSJOLagKQCjkH	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.167.48.231
2018-04-30 09:04:29	2e6e284dbfc24625316ba6683e28de08:ivLz1SlyuIgLi2SoX3ZmPdOByrJyrSbu	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	223.136.108.228
2018-04-30 09:04:31	004aa2c5a2b469c79e28e3873a308ff0:ATatW6LTospZRcgvh3yZDDUzxCSPQeeG	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	163.20.242.78
2018-04-30 09:04:41	5419a50e762d78c561e77c3fbeecc421:tBlZ3oSVbyZTMCID6T9TuAbZKxQgVLEX	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-30 09:05:15	badf5511e5e64e09ac6dd8cf38cf7266:4Lz0QezbiP0FvxkpQuasUTBl3bJLRr5L	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.108.228
2018-04-30 09:05:19	0e87c616cae5c3c4a362a69204b3e90d:Dv64w2qwImmz8j3EMWGb83Dtgo4NQbEE	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 09:06:41	ca4a78a7d30b3ef233a60daaf11fdcc0:XJS0VL15KKuBF19QrbLp8eDjXmxT4gbA	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	163.20.242.78
2018-04-30 09:06:48	0c9b0c7effc9fbda5d3f14674548b814:WZnFCH16Fl8lXz9xbIugrrt4SSv8KAxj	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 09:07:42	ffa7c3a55210216099dd8243c6196165:k1AhWzutdKIUPXSzk0cBMx3HLGeQsR63	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,;	163.20.242.78
2018-04-30 09:08:09	dd602b0909da5ac9e72d59f83cfce2ed:zU88uFQ16Sy4t3mUA5TVL1gjqWLTnU3F	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 09:09:08	a8b54474d3612801c0187f2ee6655b2f:IHTwjnrniUnrwmvfOUB8KLJhio0fKVJN	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	163.20.242.78
2018-04-30 09:10:41	33bd7b78e1ac3bda1b734b84d18ed51f:Pc6sXL0WID7qdhnaDWMlzjAF1QQCX4O3	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	163.20.242.78
2018-04-30 09:11:08	252a7802989cfa5d2d99148761f916c4:1W4aZXsz2JQGqxCrFOL9jDKVxc0vev4G	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 09:11:10	2bc6ea2ffc2fc70cde0085e618fdf106:yGrrHhDVFeMf1DtNd0IDeRsk8pL2VrgU	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.30.218.57
2018-04-30 09:11:12	f6c950c5bd54403e01a2f2bd367e5067:KIgoQOVVu0OeeSsWujP9kLCy7kLvIp39	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.108.228
2018-04-30 09:11:56	31f476501222da344b36ebe1b49eaa19:4ttzmAkGeielpObT1wIZ2nATv46Vkexb	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.136.108.228
2018-04-30 09:12:34	335c64dc4f39bdf5cd88c2da89a908ef:EpfVMmZdO8UeRepijwLMPHZOEFzTtUCr	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	163.20.242.78
2018-04-30 09:13:06	7b60575294e5909d7bd05b6fe61d691d:VxypaCvbFjo0gihQeJKpDD9VaInOsihu	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-30 09:14:10	9412d4c5b38e5d5653089e42e789f352:lgoPufNQll0Y4mELNROCvCfAyPyExdRy	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 09:14:20	515124094b0672849559a37d97a74b19:3LPuzh6628ADzcINhziPlMJvAr29U0SH	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-30 09:14:23	4cdb11b75f2cbdd359edeb3ab63fa633:2UhCvZ1zmDzxX7Z4hr52NzJ4o3aVDtB5	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.226.248.19
2018-04-30 09:14:34	9eb144dc5b1a323a0b6e73279a75ac7a:6fnHOeLD56iZ5xEVKw3dklrolHy7BRRl	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	163.20.242.78
2018-04-30 09:15:28	c761470ae6a6aaf8d3f541a7b877ae3e:hYSS9EHsuqTSfkl9hUweIHLwmQ1F2Zbx	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	163.20.242.78
2018-04-30 09:15:38	a79e44230b177b59ab6d649f0504cbbd:DLMBXVhCMwidABC4dE4F57PRKOnhpAy6	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 09:16:11	91a59490e1d8c4419f3edc107983a47a:HrRnlRmiH54XHaNiIjnzuWuuQhkdwqto	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 09:16:37	db700df682dc055e6245f2dc32a78e99:4K6wIfMjuwtiewmcHdUPQ3nRTBRMtleG	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.226.248.19
2018-04-30 09:16:46	0908ab75c9917fdd661c0346b2e1e730:UfRyD3l0DEIm9581U5X0avrjCfoaLMe6	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	163.20.242.78
2018-04-30 09:17:31	5772cb572cc1f43f3f3abf7e3a6bdb61:eFhlKoGOMmMeF3l0saLAoGhYNzMQ35B1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 09:17:46	feb2b01267a06ed9c19ef4d545af35d5:n9XGxnsLp4sTpgDkPnOsNtVcMmMw7EPV	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.226.248.19
2018-04-30 09:17:49	8a684f7ed5bdbe55af7934daf3d293c7:Ks7wBNIDHsIDa4d7GeUunDf5tqjAo8Ix	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	163.20.242.78
2018-04-30 09:18:42	f3f4d09b8927a70fd002dc912a9f5361:gL9ulvfyDvp247jEsNiXVN6Fr0yUYk1R	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	163.20.242.78
2018-04-30 09:19:47	27772bc88eb964718e919c599002d8e3:3H8Rb0rQ01FzJpNY9fqBWMLzAJLSzVE6	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.226.248.19
2018-04-30 09:20:03	81561fb1fe9534653f3ed811fa142cc0:EEDhDvxP6dPZwZiComDKto7ESZvfWGvg	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.136.108.228
2018-04-30 09:20:07	9d52e5bb17263f6ce22a455d6ea0edc1:BHxhZ2LRKhQUyxhTKsq7WvXQxEsU7GZH	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	163.20.242.78
2018-04-30 09:21:12	be30f54154371e3bcc71068e832081da:yzIQjRl88w1oMlMjw2Vvw1Exj3prVfpe	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	163.20.242.78
2018-04-30 09:23:01	444c5785e8e5121f7ff2cc4f1a8112d3:XuBAiRSnln7ipMQyHxzW1AikknuMfmmW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.226.248.19
2018-04-30 09:23:04	ce17c1856fd60a50b932bbe705fa85be:938BrbJBsuJd6ZtCKGUFBclOerNfb8lg	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	172.29.144.207
2018-04-30 09:23:08	73d3b5533863acf14af8a2c448cd618d:4sbA6tx30bi83upWE5qzt2LAJgfWgrNS	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.108.228
2018-04-30 09:23:29	0f3c80e1174fbf228aae9d12002b98b3:KVB6h58O8eyAQsvy7zxMQJhSPAeY7Ezm	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	163.20.242.78
2018-04-30 09:24:15	b44d41a761403c2a6a31d506473f9b40:3tGcCpSYl5GohSc6tLMzSD4Xjyoop9UH	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.166.144
2018-04-30 09:25:30	abe157fba5815ccea2169f8c326d3d4b:fwTgnoChVdcdIabyJTeF0i2lwORfcilZ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.108.228
2018-04-30 09:25:34	c78c5d6eed14745eb5634801d9c6784d:JhbB6gBQEZvRYpWmHULZ3m5Nty2bB649	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	163.20.242.78
