2018-04-24 04:48:31	111f4d6b06aa32399e3bc7008bdf6901:q3IzcyOgvhgzSOVbsHe94Qdf8gErc3NS	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	36.225.94.51
2018-04-24 08:39:17	90176beefd824a444d7afa7d2a7877e8:51mcJlRokWgTWCjewxcIQ9fL86KFqi3N	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:41:09	c4d905c093b50a3920ff7f765eec7164:D5pgWzr1bDoXZOV7D5cX08eA50yrahni	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:42:53	c6f385442b44ca4aa3dff87be9003a23:M0O7nXmfnQ0cfhTrKPO5NDpooQFRNhh5	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:44:35	a41e30ec44a9865d52a8750e7f6905c9:3vH4AgenADGl5hKrIfFAzySRKyDXJVyB	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:45:29	1e77d88f1eb72c69880c69a0d6ab5c35:cUtMRsZof1Vvrxlkg0QxMSnXlziNFMNw	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:46:01	90b42d6744d879bfd50af8079bba987a:AQiDA6J2sujRxWWUriJYsgidwBr850fx	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 08:47:06	26a260a6e91c02ac0c6ccfb45583d9e5:0yv20ZXtluz9h4eXWPo4QSWCxRiEbGZz	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 08:47:10	ec972cf13074cd4ef1a54f1f8e62f6d0:ih7CbF6ozftIEgoDObbXM4Ru4k75CHar	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:47:57	b0190bc0ed1aec53104dbbc26099ae30:IdEOguR2SauUY0dIhmvGCeFhzz8zqryY	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 08:48:36	446536012b1c5f9526f7019c92bc5f74:71LOyNKoqu7epgBtjiuY5UusZFON8Cms	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:49:30	70855775dad28595b5988162d4305951:pKl6RECGpOJsjxO0e8fe7FiFLnVfn1lr	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:50:33	87e07939ba1fb36e42059fff74e30b92:a2nxhpvmCPy78yax7aIvccIIbXcoTTtq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:51:27	8b09005e67374b2dac1628cfd2ed6166:KeNxI4L93hbgcGQX6g7WP7yOIj1FNYdt	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.59
2018-04-24 08:52:02	1ab2dd2be15d9209d19c1f0637bef81d:jP9CeRfQqsAfOwl9uCNqnoingmurQ5Fb	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:52:43	198798e041b23c8d50e50c517580a103:6mJzKV5LHYFjEBJV9ERMvU4H8IDxPzql	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 08:52:58	ede471c9eb2e4015641637b3ce55a1e5:oA8fjClr6OhcVX3YIWTEsYMTMNrnaBuZ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:53:59	a1dc7da2c331106b10643090c954a31b:Rs5t2xWw8rzlsLSctIg5TDhCyt8B8tOj	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:54:05	41bb9c4f2448c4e4ae0084549dd74cca:ciyUkW2epLSG69cJygUZ7uj0uc172Or4	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.59
2018-04-24 08:54:20	55733b3690ef8d7f5cf73acdcfc78e48:kQoY8lZaZWYsX7TYXnm2Ysk24jGUDvJL	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 08:54:47	639c5967c824a357c6156c7c21382f43:808F0RtPuvXoPnYB15tVuyKkNK6MKL6u	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:55:28	5523d8f708f574f96947c85e9d23d8a1:lPbvy4IH9qcdCHb0LNxxZ4JWr1N6DBCv	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 08:55:43	d28ac0347569c8e1363204fbf183b2f7:Hsrj83l5kPamJMV9oSfE3gIuiWkKKvI0	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:56:35	b29b4365331df91e9d0f4a776266a0b9:KR9iSsdc6TnfcNvuaA7liyyaq7VDDaaC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 08:57:00	46af0eacc6b962c454bd9a693be86793:b6lUr8xo6DZNZDolIx8yB6LDTnvbEkX0	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:57:34	314589f19387fb97739e3b91330f9e9d:w0wAoRJkkGNTpZT6pElNCphBnvBBydfq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 08:57:49	57622a68ea31080b8b031f3ae40c44fb:pG4KZGR3iAtWr5qcPL5XUn8HkYT9MFaK	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:58:37	3ec29ce1e8a9c296237abe522630866c:QW1aKV05mqE1qplPUu7i9Az9Rq1hRVfb	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 08:58:45	3bd85133bb9f30d00ad5b35941715dee:LNOo82D5PXcGMqcCYxsacLdaVkrv96hC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:59:44	f9a1265f9a0d7bdcfd24f3e0d1139470:yduXR5MjXqCjj3ILrlIYL2NwEulwFCaU	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 08:59:52	2b5d39e583cb719c2fae9bc3c05d0835:EnpyqqpsUuAek0nJQbinGZFEq4aUMiiA	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 09:01:25	b6b51c8ab0306e07f426449584e97c85:LZlBo7ZMRWHSGS1xrCpqgjqOjKM6h64n	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 09:02:17	e8c64f3e33f0fe97a9b5a52ebe7073da:n3hSuGRni64qBqDUtPqlqxN96ytn3nNv	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 09:02:20	606fc337b77ccf8ce9382c152ba19520:mqSsEj5WkpnnCJsOG0qt792N91GlJc7g	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 09:03:13	d424178827ffd44c8dd0439a0ed665fe:XiGdpHVt1JZdLpxyp5PFAkEhG5bWSa90	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 09:04:11	8ec45d82ce493b3089ff66cc9c58f645:lWfzZBq4dMS1OF4eshteMfg65GKjoTqt	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 09:05:05	a8d425e0eeffb9de1455eea1fca548b7:O02ocuLVW3oE1Sv6lHD6XkfkK5LoFBoj	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 09:06:55	ee76bf516dfeca2e141a40e419221b47:VigmpZNnIP3Bdj7UT5Dw9VLMQpGyXRSS	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 09:07:02	636b987844980097f7814b76577240d7:7SqDyPum6sBxU8GulhkDUiWkfuDKOp4C	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 09:07:52	704ccab07c8f10e069540aff197d59d3:QIraQCXYkHqjl2iQBeo8pgXPKnp3HMJK	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 09:08:22	c2a646758c14e646cbd3e144a41500dc:VEOkJsGr6b3QFbzUOyVUxai1mOxaZTai	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 09:08:39	61eb58499a71992db43c0d8851dce61a:KN7rXz7YmNeIRzzbVswKgM6NvWK0QSDS	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 09:09:37	872c5710b16ac9e1513a6611ba7bd9bb:ciU0dYa7ObthdB8wqSGiet2mMN3S8xvB	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 09:10:22	3467e1dc00324bc4531f66053ec5b3b6:BWw8yOUQX4Lap3xZ2Z8EnonJQXfHI8ps	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 09:10:45	9c796437c1bbf3dc47cdb87b5dfd659b:57J6yqXDLE9wReqmT0UfoNAk4je5O89T	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 09:10:50	328c91580af5a170922ffc15479a6746:jRgghDptEVUVsqpcTsQkr80gDzF3KRdr	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.59
2018-04-24 09:11:21	2c684c56cc718d77253ece1075d52c93:W7lTlXsH1KKNgRcmaYEHaFdGPOXDug8K	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 09:11:48	22f8d72ff8514a413b8f26df2c3f7fe6:3Uq2vdTLQRZ2nF4mwYTFJbZh6HAZZ42K	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 09:12:15	6efa88071f13d7a1ee17c41b0a2c9687:3yc1TZahiKYydipSBvAQEW0hgrISYRnK	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 09:12:42	f1b3e372317726f686fa8d67ea6b10a9:CL916OINDnMyb4aTUug9KnQTFOuFKHYP	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 09:12:49	43b2e3e4b3c5c7fdc6be44e1d96a67fa:TxC4nm9bJeK9PNIfAz4iWuu3uxMl9Vvm	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.59
2018-04-24 09:14:28	1577555b706fc3b5add8f8f5b4185277:7FNL3R2tzAOkNNSJ6rttf7sILmbzZprc	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 09:15:29	378bb874a1f944e0a9b629960ccb1c8b:DhrkguoNfDelUx0EP4vXwiFxDeNFshRH	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.97.231
2018-04-24 09:16:10	ea87504a62b89f2f26e5193b3832c306:gGnOsNjIkzZryD75WAy5WGE3HBppp8PE	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 09:17:43	da8cfb5180b8b646ae20713f21d7eea4:nQ8gdPS17hxBGIwMP3Lkq3bGdqnRxCT8	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.97.231
2018-04-24 09:18:24	36bba4d2f51fa106ecdf7d2e739c5bf1:LyAEhHUKslLvyDlPVOwTiSsllztsxUVg	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 09:19:56	790730920429a883620a71aa24427bba:CZZ5ckd4JmADKHu4waD0TyxIwFgkrKvA	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 09:26:00	ae5516b73a071605e80529aaf242cead:ddNrWZu3ryCqjQbm64JeAW3vQqNPK4UB	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	163.29.241.238
2018-04-24 09:29:34	69f9c80c186e7ca8c5f197c247f10d40:vprsxXMDWy3ua5CGTIyzlihqlhmwyUIl	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 09:31:32	81e148a1b5c117a1ba1301fe86e9dfe2:lb1bN1YtF57wx9zoDBPAJnitSsqqZAk9	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 09:33:06	2db9ea95d0cd4d54295d59c6c09a227d:5Idz8rvCPM5lulj8l1zgk1ahfSfgk9tN	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.136.44.62
2018-04-24 09:34:41	a5fffa5a6a28392f28f47748c6228cb5:REDsaza8TL99YGI7CSP43wEmYvzaO9VU	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.94
2018-04-24 09:35:47	69402eed8654588510465d666b01201c:evhQBKHtIcJwLmn9MGp7XqDSoNOehitP	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.94
2018-04-24 09:36:54	25103e1c8bb80add21579e7b31f3dbaa:UgOsBOuR9SDyaPWFLiXYS85e02Y8HYLV	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.94
2018-04-24 09:36:59	32bc1bf1721d8861d6ce4699e577074e:UuIuFkzO6Atdn1g5029QZxLXdDUII3QK	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.57
2018-04-24 09:37:43	569a7a2b877cc04f394de2c953528671:UBIFqPUqhJXwo4STN8fgAyUG6vRxDxSw	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.94
2018-04-24 09:38:11	42b49b9421b6c9a07c1d7226bac57363:CICka36ZnqxnkdoFDJ8abIjRCl3OQVfo	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.57
2018-04-24 09:38:26	e82dc780c38c21a67a74d3f25439291f:r0CorUoXZmmjtZy3DrfIKjI2ol9P3hq8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.94
2018-04-24 09:38:55	25bab520db805d8dc3ec14ffea0d11a0:PhjIZ5yyss0rbPf3ix40tItK1ZAr08xH	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.57
2018-04-24 09:40:14	92caaee8a68091af81ffd73c4397f5f3:edJylEX4e5bZKGUuzHA2Pn4oC9hDAwEV	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.57
2018-04-24 09:40:50	6f6e87d09e4a08988eb9200430d637e9:S2nLu8zUQS293U0bhfGsbUZWkFfFCY1U	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.0.57
2018-04-24 09:41:35	498e2ab66cb65aab54cab10e99ec9d11:hXtUOgnhkSOkAVW1niTzM1S8JQeszmgm	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.0.57
2018-04-24 09:41:37	f4f18aed1b3fc7521a8722b50de72e93:TGFSum1MRVPoHPxinUDStxpZ5xQRNh93	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	210.61.199.236
2018-04-24 09:42:19	17d286ad69ad50550eafcdd45ffb2b33:tuADNrvvsE6h2OVP72803MFLVTtv1gi7	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.0.57
2018-04-24 09:43:52	f631537b31eaa3303a944f1fda85d05c:G6p7DoL8sTROhd565eNa8YfFEWqSTCj8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 09:43:53	20c0d43efb6f1f9c7b3581c9f0d5976a:KNprc8lhLmVzs7y9yQyzQmBBrBeKERRf	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.57
2018-04-24 09:44:34	36a2d4d3fa982c734ad67458032ff426:VWbBKaDP1QyG4eRA2iINZTvTMflq6GDG	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.57
2018-04-24 09:44:52	68924496a2bf56bfd2d8ecdecac629f3:PYjA7i4inDEKQ2KfgAZyKEqQRCFfx1aa	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 09:45:09	dd02784be7994b32ebdec3071c90dce3:lAD1jowyoBUUfhnOj5DtbKfTIi2ufg1a	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.57
2018-04-24 09:45:49	233436a8c7287049e2895c4a476fe50c:n0fri1R8QecXsOr4rEYp8T1qKYqUd5nk	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.57
2018-04-24 09:45:51	03e60a217ff9f1693f615105080fceb8:HkuZU04GAFS4NUtiDSMxirwCTLhfcwcw	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 09:46:44	27a86b0086256346f544e53c848b9c20:9Hx231lVrtTA923K8JHjjzF9J9z7euta	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
2018-04-24 09:47:16	e5fd7105bf9cfa7c28c7a46417ab4c99:ieAV62onhOBrgOF3S33vUkhpKwc3wbSp	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.57
2018-04-24 09:48:41	691ad490480a0e857cfc20f4c0fdc092:ODXJc1RfGkqraloqMioIfJKbB9xOS1JT	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.57
2018-04-24 09:48:49	29133386fcc7a5b3dc8c66411947258c:bfkgqwGqp9RR9wr8qGohukJ6vE6WlCBD	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.65
