2018-04-24 01:09:51	5c02862c07b2f7f2ac37f9c03e02f9be:Xh01r8Hndx4A6rIAx3iRkM4RuBSyTXyc	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	115.82.194.99
2018-04-24 08:56:30	5fa06fbeb622283f1b53b52814fd1f45:aEdA046eUNP1gMy7RWQlJSGlaN4a8ptP	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 08:58:34	0adce3bb739017f7c03001ed07968935:Ewr3aQM87GHbdFXNVNPYGiJjIhfE9IWL	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 08:58:49	5cdf4f34752250e74934a0344a239aac:zIiqemSxmrIKC9HQJ1nUIErEQ0pjtV5v	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	10.254.248.239
2018-04-24 08:59:09	6dfecaccbf1b0dea1121a472dca90159:iSqKdZ1VThS1yEPQxi4Gb6F6Fg4UIKrH	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 09:05:28	656176a4180996ad54c2e8d76ebcca21:GrT0xYEGzJSTUnBsmxJ4dgtPF0CKbg9q	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 09:05:43	cabb9cbcb0fa17d3ad3177002b955ddb:NWHezBoYJt9C3TPL4SA0NBpa4FmOC4lJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	114.137.101.73
2018-04-24 09:05:48	a7f31560844acd6872e5f5e22226561e:a4c6RL0smupU6rsyYOlumqft0c5uZMrT	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.226
2018-04-24 09:06:02	37498bf75a2137dbcd74c108e30751d3:TILmjHlqLAXeoJ0387OdfLA8CYYAWGZc	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 09:06:32	f88513def471634a642ce334d1c52e97:Q6pUilK9P00wsEPR70kuHIN4FOLllica	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.239
2018-04-24 09:08:03	9569cf2b950b1b5f256e3e7d341703e5:DClOF209pFqMxDNBYuxfdhluLXqY95R1	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 09:09:36	d855639e01086559fd30a809e2bfa2a0:TEK4cW1eZom4s1EC3NJwmGKiKXz1Aab3	Q1:綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.226
2018-04-24 09:10:52	510cf80f86724ea8c55759724a0c76c0:970ZXxDNYF36lQ56lcHcRKIKPWnBmj7x	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 09:21:20	4314fdaf97a6a3d7b3e90d96e0b6be81:CKfnKSanJSZdjlUVcaagxSIYWmrHP1kz	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 09:23:38	123d29bc366caeda6bdf4ffd4e57d74c:Z7WQEsRimsXiCEACnVdJGTdg4Sv4H2VJ	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 09:24:49	04f37b93f3df64c1ff6058309a02fafc:kwvcX5ug5I6YORXAtMRYyccLXbhVYebq	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	180.204.148.149
2018-04-24 09:30:13	0807550858776300df3bd6cbed210849:MXck4cuOkLErRunhEcNTZRbf5pcaXC7e	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	172.29.144.207
2018-04-24 09:30:44	c77bc800463956e735c5a0b2a30f90f3:rT1F609nm25XUy1Hrz9gnrCITFxHBG5y	Q1:綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.226
2018-04-24 09:33:04	0a0c74facf526f15f111600e973dd3ee:0BDFRt1gzKxQjLzyGLHaijWG5Fqh9mzv	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 09:34:19	faf6150f1c4db70c148ce0ec3110af3d:de6Rfny4wsEGAsS5BZHmGsCuluXSflIG	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	172.29.144.204
2018-04-24 09:43:23	6df6d9f30aaab608ab2fc80748440c38:iULleYsXE924xIa0teoea2bcZW7dUpl5	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 09:52:07	aacec54f541a91e610ac1cd943a4b109:ntrJs4tkTljzEXWLZJNFd99FJvnO1evq	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-24 09:52:46	7bd4f6fb635d84f2dcce81e78ed910a2:boiisvewfEEKKC14vBdNLiG0TkFfFqwR	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 09:58:24	3e4de40899c0c9b3c32ff132f84f6253:23vKvdnxvru9Rc0mWM5mswKJqPSreFKz	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	1.163.190.5
2018-04-24 09:58:35	cf7d3a9a23e0c9027d7c900ad673d02f:ctNeZVmF9fav2IkF1dfQ9X102YxPlbrO	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	219.70.117.23
2018-04-24 10:01:01	d4ced5dfaac367750f4bfcf3228c0e12:KjZJjkg7BxRVjrlBRPxec81azc3P5kG1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 10:03:56	a6df2e7b0b61b142c5863a5aa6151a3e:N16kmd0s3GQElQ9iFXPrtC5uSs68arZr	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	114.136.51.46
2018-04-24 10:05:19	156be33d92d54aed2e97f321c9dbe5be:SORcGxBwFIlRjbRyIbjWYmnoOHiyfxaX	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-24 10:07:19	c0cb1acb4fbaba6d6bdeed86b6d3971a:YQxQgnEDFEdZoRzxJvgFpP8wA66BDV2u	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	114.136.51.46
2018-04-24 10:09:58	bbb4a86c4bd6e46d1a7fa37c67a9be3e:hBjb3LoFnEcYPb1xQq4eRhbQIewL35Wp	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.233.155.135
2018-04-24 10:10:47	600fca88939d9f74ab07d8117111c813:ncireOs9ybVDUXXRK3Gt3MshE5W4okfA	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	223.140.45.37
2018-04-24 10:11:50	27306e8f66676d26e18649a8c0b14953:es1ZJkcarb5qud5jHKJAKWIFTFLAdQQo	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	27.242.99.66
2018-04-24 10:13:10	0efdf19417f566e3031029fbf05e8f5c:4yJVwD3trNv7cODN475IbE4x3f2Btpt4	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 10:14:40	7a78070cc34d8edda6f012d8d5ed6525:8SsmGVGBempd0iPvgCHG884k4ngon8EU	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:16:14	44af1a7da304ef5953dcadf9ba390a56:kicdHeOSnbllqtkZboPI46s28hHZ77Gf	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.140.45.37
2018-04-24 10:16:33	1cd4749be7dcf9be349d8fab108afa70:uh5VaxTv37fRZWqRZ0i8Zjppb499nmVo	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:16:38	67b25ac7ae86a7adb5d236801d180428:ZS2dhktH8i7hUJAqUJJrSz5BgQcHxpJ1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	114.136.51.46
2018-04-24 10:17:03	dc41378830cd1406bc0fd9f68034a909:axa0R4GTwy8yexy78hSffkwboFkrrViE	Q1:綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 10:18:34	578ab497e50643fafb07c616bac4abe6:h9pUkSR92E4ADcnjleDReC5JDiTruaul	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:18:44	eae27b5eb523860d7c14a2db8ebec09a:aKCgVyprA2bohpMhTj2t41U1KikmnlSl	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 10:20:07	39c4059fa8dc45e88680c0539e6d340e:UNEzS5FrRefF77Lgb3LfDJH8S6YqPI5B	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.137.169.53
2018-04-24 10:23:25	8cd351e653dc9e24cf2f9f7021fc53ac:IrZBbzAwo9XprRdbchHSu1XSFU2ezg9e	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:23:38	b9276e891dd5abf939bcd9b6826cacba:cRtxcamWbILemaZX7qfSeiyic99gmvpe	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	223.140.45.37
2018-04-24 10:24:57	e29ff28ee94232f2da3510f4e114b4a2:e74sRCq8unreCHcSVtARstnVuBzvzVaI	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 10:25:33	7bf475d9cce4163cf979b5722360470b:MiYXvBEV3u7Sa70TmiyxWz5PnWPYANrO	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:26:03	a5379ddf0645114e052b781402cdcf7a:FRINNBVKyoGpusjYYMxxfFpnLV8bJgup	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.140.45.37
2018-04-24 10:28:14	c8de4e0b5183b87ebf8ea994fe9a2428:KSGrXkraIRH5ODZRfY3nlbFI8DeQ1a98	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 10:29:11	7776010ca0f98e6ce4ede057f8264910:nRXdI4nijlhbysCy0u2CSspp2k7F5Dsi	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:29:42	e2bb0341f17b8758f05a170ec1afd62c:ol16PzAsIuq9qOMlWO3WMPbjpRDmOjcL	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.137.134.102
2018-04-24 10:30:02	0d20a64cbde5050c642d148052aedaf4:grrWtpfQhTyqDEgZ9j5Ox4nPciwlFPX0	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	111.71.110.143
2018-04-24 10:30:27	bd999728f261602b4b25d9b352ee41e5:Kcah81SesZF3heI96jD7HDqnkie608wT	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 10:31:07	01276c0e0dc15aac348b12e46d952168:IZ1N8ws8PPrW6MtFND2wmWhe4Ojvqm1C	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:33:01	bc0bf154e1bfd8adfdbaab490f299ad4:TtKjqBwkHyUy7nX0Ln5qwMpX2xom4KAi	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:34:37	c8a7e3e8e247abe302523a3579c04a62:Adds5aKuwGqJHQYiEUz5dWM7YrOjXXsF	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:34:54	24f389cfc9d7906f880260c771a188e6:en4Rx2I62OwFuLkrCQuy1vPaaTaCDfqK	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	49.219.161.246
2018-04-24 10:36:10	f7d66de66619428923202ab6258f3dcb:cp5gren2hfkT2FUVhZA0FPOQW3KkHzRi	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:37:57	0a4ef14793d6ec6b4f67c4b48b022f62:mhsFtCbeL8hHweX2u53lvepRR5wQZrds	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:38:22	2998e2acae85a9082d0dca9620d68e59:TWYrRVidpgBqPDPfnJv1e763hFGyQu94	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	10.5.11.9
2018-04-24 10:38:59	1da44f35d21fb80a212951d0b5e36d66:tNl4pwQpyAxOEW3s9iE9xBsDfFVVePq9	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 10:39:21	fdf07fa2763767c16cd841cff4097378:1ILvRuoISStgemjy6tOec6WTVmzR2b41	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	117.56.232.245
2018-04-24 10:40:35	ecb6d0fa35eb7f58617e56cb66c58b27:vPvPXF6rAZXfMkFWn2vm8A2fY9YyBUf0	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-24 10:41:12	265524ce52ca9160af80e68f9e5942b7:nOK8cUs6DCNRzcULkGsDeZvtnrlMCiIw	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	115.82.162.150
2018-04-24 10:41:32	167f18b6bd7c1a49a58ad6a83f86f7ac:KAp6ajQPGm8WoyCMX116VeGwnK1cA8Fb	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	117.56.232.245
2018-04-24 10:45:06	7ca1df9a48474bd16d858db52ee0bea1:W4zv1iHR2KNceEWQCMAudp28RMIewpkm	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	10.5.11.9
2018-04-24 10:46:21	2aeb4cb0a17e55b68ffd8f4ff80f1f1b:KbK0WaT0ZOapdbaWYfmA4cX5EJi9S6IC	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 10:46:42	1ab009f491caccfbbba1d9de2be089d5:bqlgyhFdIUEvXtIups7rQgC37Bvj208a	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:48:35	0ad24d74c3366e185ff4913fc8c3a7f5:md6laug1WH1WgSxXy2fis8y4VNmHlXzX	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:50:21	5f1e28c3128be700784d787f95cf6b0a:IZrZjeNainHHbId29QXWwqqvYDzvY5s7	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
