2018-04-22 00:07:37	472156bff913800d585edf7e18faf70d:1e4p1Ol5wUMCqAN7tSzY1Jp2LVZmGsFX	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	123.192.40.168
2018-04-22 10:57:19	fd23545514640f53af7b4ddd6c28e0b5:LmwuTX7JpGuoXEDYOITP9dB8o2NzSUrb	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 10:57:44	a0f9f3070e8a7363a6f66630e29da5c6:UQR7BoZXsgi38pMJFbTtorIq3LHHurY0	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	10.254.248.143
2018-04-22 10:58:03	80d012f39f9d68100ebc6475dc1f9e90:eeaqyKsRAtiJKl7acv63XjL44860wAYw	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	114.136.179.142
2018-04-22 11:03:13	bc629e39f24691b15cc0d2607e8643a9:xDQVQRGsNI1Y4sezwQmbKdT0ZBjQryfH	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	114.136.179.142
2018-04-22 11:05:38	6c0725c65a14f090303a370686b6637f:Jx1PC8LJ1XLIelb3CyUlr96577tUCLC4	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 11:05:39	ea5ead3b0e1ff78509efb3d66ae5fcc5:umGbcMUq8yyjOTtgX8HryppAiHpDJf14	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	10.254.248.143
2018-04-22 11:07:38	efa5dbeb2ba63843b190e41d34e2eaf9:XtU8hqjqxaBe4OYXTVkyeULf3AkXUEMJ	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	114.136.179.142
2018-04-22 11:12:43	f350cdbeadf3c253ca2fdd4b57e74641:xekwwrUi5VXEpk9fD6sDqZsJmn3IircZ	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 11:12:56	83bcc51e55392741fb66ba0849bbc4c4:YeLUJFrvjASzWusYefuAlYTwXaQ9FKrV	Q1:克強公園游泳池變身為複合式運動中心,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 11:14:55	6942909d6a874dacc6038a16294188cd:DT6hvYsRUb4y1CcBL895wzPewSu9ciEK	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 11:17:21	98574dcfb7098f5acfee4ae6b6008656:m4YqVUJz9h6AWaCgPsjIMEmASpGH8wkT	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	10.254.248.143
2018-04-22 11:21:46	12b378feb9c288af2e8139ff767710a2:b9uLPgpxplTOrAKjoPIcbVf3dqgMBRuI	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 11:22:59	c2e9ee5f27f16006864314574a28bf0f:dR9Ep8FlfAoYXS4EDvKDFn63hC3ddG2v	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	10.254.248.143
2018-04-22 11:25:17	22ce39eff9b88c4945d2be8a503cde55:VCQjAkk6yReGcKETL2KyWhZgOQ8np4Ci	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	10.254.248.143
2018-04-22 11:31:07	946894211f864913b60ea2bd8a9f0129:Y4xnQrAVYF36YAqD17WvGSivSFxaUdXI	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 11:31:45	a004fc383ec373f64a7f8c8da4cfe3be:WFWfDEdGAVafPxQHTo3pAy5JwheGpBny	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	10.254.248.143
2018-04-22 11:32:50	4074acee2fdb78ead7769817143e4586:lUrgzm3kyGPBGhlmWipg48KIuuyTuhUG	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 11:35:17	841a9615a586cec02af26bdfffc8f308:RKOOe8BJQBNid7nA84C1JCgoeIjy8kLo	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	114.136.179.142
2018-04-22 11:36:10	9b28780f8ffe38dd8bb0201aed613473:owBV5DJEx8sj9CFBqKcQ1bTIFy11StCe	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	10.254.248.143
2018-04-22 11:40:54	3c5165000bee78f8fc46188428dcc69c:ZHh7NIQ8FMkBflcijvBByvLkwODrM610	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	114.136.179.142
2018-04-22 11:44:41	25ead2a3561214ed4fe6d6205316604d:YrnHh1e6TKB671YNmMBtXBypv2yA6o7Q	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 11:48:56	55bf5aef9f01ee507126983c7065453e:3fTgsRpmtuob4NwjDIlgTib65RBAuMZF	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	49.215.20.228
2018-04-22 11:49:59	0c93883408b6da7d60e3a969e31ff574:P40zGniXZ3RMYvb0AvgIeOjz0Nj91tQr	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 11:50:24	42317a543e6a9b7a0c543514b2557e47:870gievPs0HmhxAREJxXyLiARB1ReUlr	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 11:52:55	83934aa3a02c210dab04c8202ac0da07:eqff2Al2NsI2KZMqDfwjC2sGWN7PJCBy	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 11:53:26	bd730cecfd68cd9fd725117ed90d8b06:J8tgN5LGTTXb9LehcswkI9apBDakTNKe	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	114.136.179.142
2018-04-22 11:58:41	d6be82888e9e12d351a4c8237fffcf23:2azC5miXLy5LJJz12dFnywbi16uSXril	Q1:克強公園游泳池變身為複合式運動中心,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 12:00:12	5134a7532e46d177f45f5e8e2d4f789d:BakdgIkXA7fgmEqLsAobocSWX3XL8ll9	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 12:01:28	caa3700e307e7365f36cf2357be570ba:O1EuyyKhGswoBzr7nLzgkgqFFNeDyswf	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 12:01:59	5b7d0d47df18f64b145067314b042da6:LaNoV7bvcEQc4MTlbCoahoxTu5sFoyEh	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	114.136.179.142
2018-04-22 12:03:27	383353174c4deeb3135ef0c90a33ed7a:IF5o4yfEez8toGnSYxwVRZBQiWtJxLH3	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	114.136.179.142
2018-04-22 12:04:20	982fbda1961491c4dd747a30fe8261c1:bcRUef5ttbMMqZASwnnjJ1myG4mRttsP	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 12:04:48	5e8410f075761cc26cafab5ef5a63660:g9cUDTa1KeZOAzpQDRo6O3CSKZ3P0C88	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	114.136.179.142
2018-04-22 12:06:07	8450999a1f22112efdc04e6ffdcda02d:h1Nifd08aziZEPpqY6rANLsV1p6zFvgG	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 12:07:31	6110094af03adbb012082a86c32e179a:4Iby26MHKvAJKkhS0bfgTcPJ2CFJE1ln	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 12:08:58	b5b67759c99f46a53b645f49c4dd5775:7XnPYaw59qM1fluiZF9g2hZZJA4xVKKx	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 12:11:03	367197b1c25bf96544526d47c8ae3880:TIhnci43QrPjNQjMjMYOeiZ5L52oDyQe	Q1:克強公園游泳池變身為複合式運動中心,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 12:14:40	90ca7c447b9efe0d018a86fa086f6ae0:Zn7TE33hMrJRJEUU1uwrBGPnN34ktmL1	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 12:21:19	be5572318c52d14e589fc803eb00f97d:lghwGpaZSitt6BPTbAxRMOrRSgZ6aUgw	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	114.136.179.142
2018-04-22 12:28:46	4e3ec96a88b91ca54b07aaa78029e7c4:m1SFnIud6Tw0ZhjxBNmL4tDKSiBwTSEc	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	114.136.179.142
2018-04-22 12:28:56	b0fe4416ec3989e98bd022f37195809c:UQOFXuoH1734kA6d1vFeNS44drjHmtr5	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	10.254.248.143
2018-04-22 12:31:38	3bf2c8f67ea17678cd2666db571f8307:MrhqAtMFXP5k1M41Lzm95GSXDjX7f5LE	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	114.136.179.142
2018-04-22 12:32:48	296cb2e65264d3980d35ec27c7fd9cad:h8hvL1QCEqumkum8hjJ5662bBGBGIW57	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	10.254.248.143
2018-04-22 12:35:44	c62a3368fdd329e3604d533b22162df3:yvyxQ8rAC1zR0AzqtTvQEy26bYsDmUI1	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	114.136.179.142
2018-04-22 12:41:33	2f62699df8cc64e1e554ab40550972fa:bQFj6bD10mqnAoDrwqHA4uIHQ4XRutix	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	10.254.248.143
2018-04-22 12:43:56	ba82e302ccf3ee7579c3061d50eca4f4:SZMftBEOVDZGE8JDwskYcGgY155DlBpt	Q1:彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 12:51:40	d94bfa2f7d0d85ae8d83ec19e1f58f50:hZMckMQYL77iRfOOd4JkY2U2KcFKlwct	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 12:53:51	c30775dff912fbb3b657b4ed138f9b7d:v6eCSxe0VcHxdlFGHikSi0Xfj93uObYC	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	10.254.248.143
2018-04-22 12:54:02	6e58b96ddedcd1d69fdc95376ddd6216:HtaI3lGxQaXgPVSBZOKTcBpfc2239l4A	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	114.136.179.142
2018-04-22 12:54:44	1499b7d0152808f279cf81ff51ad5319:sqbnZN95NidfloM5HcNZuYRMy4glM0Y8	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 12:56:28	461d50b4a3ffb9199b8b93694556035d:ZPZEA7lA6zClom1l4c4Soh7YknTIdUuG	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 12:58:24	ecc5efffd05a32d64b4e9c42bc10a7a2:8Y0kGB18AvBarw0KaGBAcYZaDYT0I8zb	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 12:59:33	3b69afce58e4e5d62bb83ed2620f2c1d:qfLX08auWmAEocurtdheEysOrgQgOdYZ	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	10.254.248.143
2018-04-22 13:02:08	f7987a98b7b7c8892dc4874fc2bfc5c7:bSuD00430KCt0kpcMNDYGZBN8H4AVo2I	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,;	1.200.204.194
2018-04-22 13:05:41	443eaf2c8192eacfeab378aa0af38167:XBEvzB3x5jvESgOMVQkSqbyEhQJeZwwA	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 13:07:28	2d2bc7469ac7287026e1c82b8a452e5b:GhuHZe6Ybho3k8t5eT95GgFIKqcioQwY	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 13:10:12	b9f057736b0dfca50838dde0e5387e1a:TMHziSci2j8Z8NR4I3jRqZNzdZhbsGnt	Q1:克強公園游泳池變身為複合式運動中心,通河西街二段底堤壁美化,;	114.136.179.142
2018-04-22 13:10:58	d0ca15bb73b5a2dd691b79ae7721934e:TWusAWKWfxOEpY1wzpue8MxE481fsbCK	Q1:克強公園游泳池變身為複合式運動中心,彩虹步道的彩虹橋,通河西街二段底堤壁美化,;	114.136.179.142
